ID	Taxonomy	Gene_count
mag=CHL-AOS-Bin-162-10-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	83
mag=CHL-AOS-Bin-162-11-c-taxonomy=Red-Haptophyta	Red-Haptophyta	44
mag=CHL-AOS-Bin-162-13-c-taxonomy=Red-Haptophyta	Red-Haptophyta	79
mag=CHL-AOS-Bin-162-16-c-taxonomy=Red-Haptophyta	Red-Haptophyta	76
mag=CHL-AOS-Bin-162-17-c-taxonomy=Red-Haptophyta	Red-Haptophyta	30
mag=CHL-AOS-Bin-162-18-c-taxonomy=Red-Haptophyta	Red-Haptophyta	80
mag=CHL-AOS-Bin-162-1-c-taxonomy=Red-Haptophyta	Red-Haptophyta	53
mag=CHL-AOS-Bin-162-21-c-taxonomy=Red-Haptophyta	Red-Haptophyta	68
mag=CHL-AOS-Bin-162-23-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	92
mag=CHL-AOS-Bin-162-24-c-taxonomy=Red-Haptophyta	Red-Haptophyta	88
mag=CHL-AOS-Bin-162-26-c-taxonomy=Red-Haptophyta	Red-Haptophyta	87
mag=CHL-AOS-Bin-162-27-c-taxonomy=Red-Haptophyta	Red-Haptophyta	62
mag=CHL-AOS-Bin-162-5-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	72
mag=CHL-AOS-Bin-162-6-c-taxonomy=Red-Haptophyta	Red-Haptophyta	60
mag=CHL-AOS-Bin-166-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	71
mag=CHL-AOS-Bin-166-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	36
mag=CHL-AOS-Bin-166-7-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	92
mag=CHL-AOS-Bin-173-3-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	92
mag=CHL-AOS-Bin-173-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	83
mag=CHL-AOS-Bin-179-11-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	51
mag=CHL-AOS-Bin-179-12-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	82
mag=CHL-AOS-Bin-179-13-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	92
mag=CHL-AOS-Bin-179-14-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	58
mag=CHL-AOS-Bin-179-15-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	85
mag=CHL-AOS-Bin-179-16-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	90
mag=CHL-AOS-Bin-179-19-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	34
mag=CHL-AOS-Bin-179-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	91
mag=CHL-AOS-Bin-179-22-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	69
mag=CHL-AOS-Bin-179-23-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	90
mag=CHL-AOS-Bin-179-24-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	55
mag=CHL-AOS-Bin-179-25-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	43
mag=CHL-AOS-Bin-179-27-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	36
mag=CHL-AOS-Bin-179-28-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	51
mag=CHL-AOS-Bin-179-32-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	37
mag=CHL-AOS-Bin-179-3-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	56
mag=CHL-AOS-Bin-179-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	66
mag=CHL-AOS-Bin-179-6-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	74
mag=CHL-AOS-Bin-179-7-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	27
mag=CHL-AOS-Bin-83-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	30
mag=CHL-AOS-Bin-89-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	42
mag=CHL-AOS-Bin-89-8-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	90
mag=CHL-ARC-Bin-104-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	63
mag=CHL-ARC-Bin-104-3-c-taxonomy=Red-Haptophyta	Red-Haptophyta	52
mag=CHL-ARC-Bin-104-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	62
mag=CHL-ARC-Bin-104-7-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	32
mag=CHL-ARC-Bin-104-8-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	58
mag=CHL-ARC-Bin-104-9-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	29
mag=CHL-ARC-Bin-123-1-c-taxonomy=Red-Dinotom	Red-Dinotom	42
mag=CHL-ARC-Bin-169-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	43
mag=CHL-ARC-Bin-171-1-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	62
mag=CHL-ARC-Bin-205-11-c-taxonomy=Red-Haptophyta	Red-Haptophyta	87
mag=CHL-ARC-Bin-205-16-c-taxonomy=Red-Haptophyta	Red-Haptophyta	31
mag=CHL-ARC-Bin-205-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	40
mag=CHL-ARC-Bin-205-3-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	35
mag=CHL-ARC-Bin-205-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	22
mag=CHL-ARC-Bin-205-5-c-taxonomy=Red-Haptophyta	Red-Haptophyta	59
mag=CHL-ARC-Bin-205-7-c-taxonomy=Red-Haptophyta	Red-Haptophyta	77
mag=CHL-ARC-Bin-205-8-c-taxonomy=Red-Haptophyta	Red-Haptophyta	85
mag=CHL-ARC-Bin-205-9-c-taxonomy=Red-Haptophyta	Red-Haptophyta	56
mag=CHL-ARC-Bin-223-2-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	18
mag=CHL-ARC-Bin-223-3-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	7
mag=CHL-ARC-Bin-223-4-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	10
mag=CHL-ARC-Bin-238-10-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	21
mag=CHL-ARC-Bin-238-11-c-taxonomy=Green-Euglenales	Green-Euglenales	44
mag=CHL-ARC-Bin-238-12-c-taxonomy=Red-Haptophyta	Red-Haptophyta	78
mag=CHL-ARC-Bin-238-13-c-taxonomy=Red-Haptophyta	Red-Haptophyta	25
mag=CHL-ARC-Bin-238-14-c-taxonomy=Red-Haptophyta	Red-Haptophyta	61
mag=CHL-ARC-Bin-238-16-c-taxonomy=Red-Haptophyta	Red-Haptophyta	75
mag=CHL-ARC-Bin-238-18-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	74
mag=CHL-ARC-Bin-238-19-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	44
mag=CHL-ARC-Bin-238-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	81
mag=CHL-ARC-Bin-238-20-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	49
mag=CHL-ARC-Bin-238-22-c-taxonomy=Red-Haptophyta	Red-Haptophyta	67
mag=CHL-ARC-Bin-238-23-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	45
mag=CHL-ARC-Bin-238-25-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	54
mag=CHL-ARC-Bin-238-27-c-taxonomy=Red-Haptophyta	Red-Haptophyta	71
mag=CHL-ARC-Bin-238-28-c-taxonomy=Red-Haptophyta	Red-Haptophyta	66
mag=CHL-ARC-Bin-238-29-c-taxonomy=Red-Haptophyta	Red-Haptophyta	55
mag=CHL-ARC-Bin-238-2-c-taxonomy=Red-Haptophyta	Red-Haptophyta	71
mag=CHL-ARC-Bin-238-30-c-taxonomy=Red-Haptophyta	Red-Haptophyta	49
mag=CHL-ARC-Bin-238-31-c-taxonomy=Red-Haptophyta	Red-Haptophyta	79
mag=CHL-ARC-Bin-238-32-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	35
mag=CHL-ARC-Bin-238-33-c-taxonomy=Red-Haptophyta	Red-Haptophyta	50
mag=CHL-ARC-Bin-238-34-c-taxonomy=Red-Haptophyta	Red-Haptophyta	84
mag=CHL-ARC-Bin-238-3-c-taxonomy=Red-Haptophyta	Red-Haptophyta	76
mag=CHL-ARC-Bin-238-40-c-taxonomy=Red-Haptophyta	Red-Haptophyta	59
mag=CHL-ARC-Bin-238-41-c-taxonomy=Red-Haptophyta	Red-Haptophyta	83
mag=CHL-ARC-Bin-238-4-c-taxonomy=Red-Haptophyta	Red-Haptophyta	66
mag=CHL-ARC-Bin-238-9-c-taxonomy=Green-Chlorophyta	Green-Chlorophyta	37
mag=CHL-ARC-Bin-270-13-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	85
mag=CHL-ARC-Bin-270-15-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	37
mag=CHL-ARC-Bin-270-16-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	36
mag=CHL-ARC-Bin-270-16-2-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	37
mag=CHL-ARC-Bin-270-17-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	38
mag=CHL-ARC-Bin-270-19-c-taxonomy=Green-Euglenales	Green-Euglenales	30
mag=CHL-ARC-Bin-270-20-c-taxonomy=Green-Euglenales	Green-Euglenales	49
mag=CHL-ARC-Bin-270-21-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	22
mag=CHL-ARC-Bin-270-3-c-taxonomy=Red-Cryptophyceae	Red-Cryptophyceae	92
mag=CHL-ARC-Bin-270-9-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	43
mag=CHL-ARC-Bin-303-10-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	15
mag=CHL-ARC-Bin-303-11-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	42
mag=CHL-ARC-Bin-303-12-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	75
mag=CHL-ARC-Bin-303-14-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	53
mag=CHL-ARC-Bin-303-15-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	14
mag=CHL-ARC-Bin-303-16-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	79
mag=CHL-ARC-Bin-303-17-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	60
mag=CHL-ARC-Bin-303-19-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	89
mag=CHL-ARC-Bin-303-1-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	82
mag=CHL-ARC-Bin-303-20-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	80
mag=CHL-ARC-Bin-303-21-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	89
mag=CHL-ARC-Bin-303-22-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	90
mag=CHL-ARC-Bin-303-23-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	79
mag=CHL-ARC-Bin-303-24-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	40
mag=CHL-ARC-Bin-303-25-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	39
mag=CHL-ARC-Bin-303-26-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	65
mag=CHL-ARC-Bin-303-28-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	21
mag=CHL-ARC-Bin-303-2-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	74
mag=CHL-ARC-Bin-303-31-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	20
mag=CHL-ARC-Bin-303-32-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	34
mag=CHL-ARC-Bin-303-33-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	44
mag=CHL-ARC-Bin-303-34-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	87
mag=CHL-ARC-Bin-303-35-c-taxonomy=Red-Ochrophyta	Red-Ochrophyta	86
