Taxon	Type	Number of genes detected	Completeness percentage
CHL_AON_Bin_184_79_c	mag	37	84.0909
CHL_AON_Bin_184_81_c	mag	35	79.5455
CHL_AON_Bin_184_82_c	mag	43	97.7273
CHL_AON_Bin_184_83_c	mag	32	72.7273
CHL_AON_Bin_184_85_c	mag	43	97.7273
CHL_AON_Bin_184_87_c	mag	41	93.1818
CHL_AON_Bin_184_88_c	mag	41	93.1818
CHL_AON_Bin_184_89_c	mag	40	90.9091
CHL_AON_Bin_184_90_c	mag	43	97.7273
CHL_AON_Bin_184_91_c	mag	36	81.8182
CHL_AON_Bin_184_92_c	mag	21	47.7273
CHL_AON_Bin_206_3_c	mag	36	81.8182
CHL_AON_Bin_218_12_c	mag	32	72.7273
CHL_AON_Bin_218_15_c	mag	25	56.8182
CHL_AON_Bin_218_18_c	mag	33	75
CHL_AON_Bin_218_19_c	mag	36	81.8182
CHL_AON_Bin_218_1_c	mag	43	97.7273
CHL_AON_Bin_218_20_c	mag	34	77.2727
CHL_AON_Bin_218_22_c	mag	21	47.7273
CHL_AON_Bin_218_24_c	mag	13	29.5455
CHL_AON_Bin_218_25_c	mag	11	25
CHL_AON_Bin_218_26_c	mag	15	34.0909
CHL_AON_Bin_218_27_c	mag	23	52.2727
CHL_AON_Bin_218_29_c	mag	27	61.3636
CHL_AON_Bin_218_2_c	mag	43	97.7273
CHL_AON_Bin_218_30_c	mag	26	59.0909
CHL_AON_Bin_218_32_c	mag	21	47.7273
CHL_AON_Bin_218_34_c	mag	40	90.9091
CHL_AON_Bin_218_35_c	mag	35	79.5455
CHL_AON_Bin_218_36_c	mag	20	45.4545
CHL_AON_Bin_218_37_c	mag	16	36.3636
CHL_AON_Bin_218_38_c	mag	26	59.0909
CHL_AON_Bin_218_41_c	mag	41	93.1818
CHL_AON_Bin_218_42_c	mag	41	93.1818
CHL_AON_Bin_218_43_c	mag	34	77.2727
CHL_AON_Bin_218_44_c	mag	38	86.3636
CHL_AON_Bin_218_46_c	mag	23	52.2727
CHL_AON_Bin_218_4_c	mag	36	81.8182
CHL_AON_Bin_218_6_c	mag	24	54.5455
CHL_AON_Bin_218_7_c	mag	37	84.0909
CHL_AON_Bin_218_8_c	mag	33	75
CHL_AON_Bin_220_12_c	mag	27	61.3636
CHL_AON_Bin_220_13_c	mag	42	95.4545
CHL_AON_Bin_220_17_c	mag	11	25
CHL_AON_Bin_220_18_c	mag	34	77.2727
CHL_AON_Bin_220_19_c	mag	37	84.0909
CHL_AON_Bin_220_24_c	mag	44	100
CHL_AON_Bin_220_25_c	mag	36	81.8182
CHL_AON_Bin_220_30_c	mag	44	100
CHL_AON_Bin_220_31_c	mag	43	97.7273
CHL_AON_Bin_220_32_c	mag	40	90.9091
CHL_AON_Bin_220_34_c	mag	25	56.8182
CHL_AON_Bin_220_35_c	mag	39	88.6364
CHL_AON_Bin_220_36_c	mag	33	75
CHL_AON_Bin_220_39_c	mag	26	59.0909
CHL_AON_Bin_220_6_c	mag	29	65.9091
CHL_AON_Bin_220_7_c	mag	41	93.1818
CHL_AON_Bin_222_1_c	mag	21	47.7273
CHL_AON_Bin_222_2_c	mag	29	65.9091
CHL_AON_Bin_222_3_c	mag	29	65.9091
CHL_AON_Bin_238_2_c	mag	17	38.6364
CHL_AON_Bin_238_9_c	mag	42	95.4545
CHL_AON_Bin_248_3_c	mag	23	52.2727
CHL_AON_Bin_248_4_c	mag	14	31.8182
CHL_AON_Bin_264_5_c	mag	15	34.0909
CHL_AON_Bin_270_2_c	mag	32	72.7273
CHL_AON_Bin_293_3_c	mag	13	29.5455
CHL_AON_Bin_293_4_c	mag	33	75
CHL_AON_Bin_293_5_c	mag	35	79.5455
CHL_AOS_Bin_102_10_c	mag	11	25
CHL_AOS_Bin_102_11_c	mag	11	25
CHL_AOS_Bin_102_15_c	mag	35	79.5455
CHL_AOS_Bin_102_18_c	mag	18	40.9091
CHL_AOS_Bin_102_19_c	mag	21	47.7273
CHL_AOS_Bin_102_1_c	mag	28	63.6364
CHL_AOS_Bin_102_25_c	mag	18	40.9091
CHL_AOS_Bin_102_27_c	mag	27	61.3636
CHL_AOS_Bin_102_28_c	mag	16	36.3636
CHL_AOS_Bin_102_29_c	mag	26	59.0909
CHL_AOS_Bin_102_30_c	mag	33	75
CHL_AOS_Bin_102_32_c	mag	28	63.6364
CHL_AOS_Bin_102_33_c	mag	34	77.2727
CHL_AOS_Bin_102_7_c	mag	36	81.8182
CHL_AOS_Bin_125_20_c	mag	21	47.7273
CHL_AOS_Bin_125_27_c	mag	26	59.0909
CHL_AOS_Bin_125_2_c	mag	35	79.5455
CHL_AOS_Bin_125_31_c	mag	31	70.4545
CHL_AOS_Bin_125_32_c	mag	23	52.2727
CHL_AOS_Bin_125_33_c	mag	12	27.2727
CHL_AOS_Bin_125_38_c	mag	12	27.2727
CHL_AOS_Bin_125_39_c	mag	38	86.3636
CHL_AOS_Bin_125_3_c	mag	18	40.9091
CHL_AOS_Bin_125_40_c	mag	24	54.5455
CHL_AOS_Bin_125_42_c	mag	42	95.4545
CHL_AOS_Bin_125_4_c	mag	28	63.6364
CHL_AOS_Bin_125_5_c	mag	30	68.1818
CHL_AOS_Bin_125_7_c	mag	41	93.1818
CHL_AOS_Bin_138_1_c	mag	40	90.9091
CHL_AOS_Bin_138_2_c	mag	30	68.1818
CHL_AOS_Bin_139_10_c	mag	15	34.0909
CHL_AOS_Bin_139_1_c	mag	25	56.8182
CHL_AOS_Bin_139_6_c	mag	32	72.7273
CHL_AOS_Bin_139_8_c	mag	12	27.2727
CHL_AOS_Bin_143_10_c	mag	28	63.6364
CHL_AOS_Bin_143_1_c	mag	44	100
CHL_AOS_Bin_143_4_c	mag	28	63.6364
CHL_AOS_Bin_143_7_c	mag	25	56.8182
CHL_AOS_Bin_162_10_c	mag	41	93.1818
CHL_AOS_Bin_162_11_c	mag	17	38.6364
CHL_AOS_Bin_162_13_c	mag	39	88.6364
CHL_AOS_Bin_162_16_c	mag	34	77.2727
CHL_AOS_Bin_162_17_c	mag	14	31.8182
CHL_AOS_Bin_162_18_c	mag	40	90.9091
CHL_AOS_Bin_162_1_c	mag	25	56.8182
CHL_AOS_Bin_162_21_c	mag	29	65.9091
CHL_AOS_Bin_162_23_c	mag	44	100
CHL_AOS_Bin_162_24_c	mag	44	100
CHL_AOS_Bin_162_26_c	mag	44	100
CHL_AOS_Bin_162_27_c	mag	36	81.8182
CHL_AOS_Bin_162_5_c	mag	35	79.5455
CHL_AOS_Bin_162_6_c	mag	26	59.0909
CHL_AOS_Bin_166_1_c	mag	29	65.9091
CHL_AOS_Bin_166_4_c	mag	13	29.5455
CHL_AOS_Bin_166_7_c	mag	43	97.7273
CHL_AOS_Bin_173_3_c	mag	44	100
CHL_AOS_Bin_173_4_c	mag	41	93.1818
CHL_AOS_Bin_179_11_c	mag	27	61.3636
CHL_AOS_Bin_179_12_c	mag	38	86.3636
CHL_AOS_Bin_179_13_c	mag	43	97.7273
CHL_AOS_Bin_179_14_c	mag	28	63.6364
CHL_AOS_Bin_179_15_c	mag	43	97.7273
CHL_AOS_Bin_179_16_c	mag	42	95.4545
CHL_AOS_Bin_179_19_c	mag	16	36.3636
CHL_AOS_Bin_179_1_c	mag	44	100
CHL_AOS_Bin_179_22_c	mag	33	75
CHL_AOS_Bin_179_23_c	mag	41	93.1818
CHL_AOS_Bin_179_24_c	mag	23	52.2727
CHL_AOS_Bin_179_25_c	mag	19	43.1818
CHL_AOS_Bin_179_27_c	mag	18	40.9091
CHL_AOS_Bin_179_28_c	mag	21	47.7273
CHL_AOS_Bin_179_32_c	mag	14	31.8182
CHL_AOS_Bin_179_3_c	mag	22	50
CHL_AOS_Bin_179_4_c	mag	27	61.3636
CHL_AOS_Bin_179_6_c	mag	38	86.3636
CHL_AOS_Bin_179_7_c	mag	9	20.4545
CHL_AOS_Bin_83_4_c	mag	17	38.6364
CHL_AOS_Bin_89_2_c	mag	20	45.4545
CHL_AOS_Bin_89_8_c	mag	44	100
CHL_ARC_Bin_104_2_c	mag	34	77.2727
CHL_ARC_Bin_104_3_c	mag	30	68.1818
CHL_ARC_Bin_104_4_c	mag	28	63.6364
CHL_ARC_Bin_104_7_c	mag	18	40.9091
CHL_ARC_Bin_104_8_c	mag	24	54.5455
CHL_ARC_Bin_104_9_c	mag	17	38.6364
CHL_ARC_Bin_123_1_c	mag	20	45.4545
CHL_ARC_Bin_169_1_c	mag	24	54.5455
CHL_ARC_Bin_171_1_c	mag	26	59.0909
CHL_ARC_Bin_205_11_c	mag	44	100
CHL_ARC_Bin_205_16_c	mag	12	27.2727
CHL_ARC_Bin_205_2_c	mag	27	61.3636
CHL_ARC_Bin_205_3_c	mag	32	72.7273
CHL_ARC_Bin_205_4_c	mag	12	27.2727
CHL_ARC_Bin_205_5_c	mag	23	52.2727
CHL_ARC_Bin_205_7_c	mag	41	93.1818
CHL_ARC_Bin_205_8_c	mag	43	97.7273
CHL_ARC_Bin_205_9_c	mag	30	68.1818
CHL_ARC_Bin_223_2_c	mag	8	18.1818
CHL_ARC_Bin_223_3_c	mag	5	11.3636
CHL_ARC_Bin_223_4_c	mag	5	11.3636
CHL_ARC_Bin_238_10_c	mag	20	45.4545
CHL_ARC_Bin_238_11_c	mag	35	79.5455
CHL_ARC_Bin_238_12_c	mag	43	97.7273
CHL_ARC_Bin_238_13_c	mag	13	29.5455
CHL_ARC_Bin_238_14_c	mag	34	77.2727
CHL_ARC_Bin_238_16_c	mag	42	95.4545
CHL_ARC_Bin_238_18_c	mag	35	79.5455
CHL_ARC_Bin_238_19_c	mag	39	88.6364
CHL_ARC_Bin_238_1_c	mag	40	90.9091
CHL_ARC_Bin_238_22_c	mag	28	63.6364
CHL_ARC_Bin_238_23_c	mag	18	40.9091
CHL_ARC_Bin_238_25_c	mag	44	100
CHL_ARC_Bin_238_27_c	mag	32	72.7273
CHL_ARC_Bin_238_28_c	mag	31	70.4545
CHL_ARC_Bin_238_29_c	mag	30	68.1818
CHL_ARC_Bin_238_2_c	mag	31	70.4545
CHL_ARC_Bin_238_30_c	mag	29	65.9091
CHL_ARC_Bin_238_32_c	mag	15	34.0909
CHL_ARC_Bin_238_33_c	mag	21	47.7273
CHL_ARC_Bin_238_34_c	mag	43	97.7273
CHL_ARC_Bin_238_3_c	mag	33	75
CHL_ARC_Bin_238_40_c	mag	30	68.1818
CHL_ARC_Bin_238_41_c	mag	43	97.7273
CHL_ARC_Bin_238_4_c	mag	31	70.4545
CHL_ARC_Bin_238_9_c	mag	29	65.9091
CHL_ARC_Bin_270_13_c	mag	41	93.1818
CHL_ARC_Bin_270_15_c	mag	15	34.0909
CHL_ARC_Bin_270_16_1_c	mag	21	47.7273
CHL_ARC_Bin_270_16_2_c	mag	22	50
CHL_ARC_Bin_270_19_c	mag	23	52.2727
CHL_ARC_Bin_270_20_c	mag	38	86.3636
CHL_ARC_Bin_270_21_c	mag	9	20.4545
CHL_ARC_Bin_270_3_c	mag	44	100
CHL_ARC_Bin_270_9_c	mag	25	56.8182
CHL_ARC_Bin_303_10_c	mag	6	13.6364
CHL_ARC_Bin_303_11_c	mag	17	38.6364
CHL_ARC_Bin_303_12_c	mag	31	70.4545
CHL_ARC_Bin_303_14_c	mag	24	54.5455
CHL_ARC_Bin_303_15_c	mag	5	11.3636
CHL_ARC_Bin_303_16_c	mag	35	79.5455
CHL_ARC_Bin_303_17_c	mag	32	72.7273
CHL_ARC_Bin_303_19_c	mag	42	95.4545
CHL_ARC_Bin_303_1_c	mag	37	84.0909
CHL_ARC_Bin_303_20_c	mag	35	79.5455
CHL_ARC_Bin_303_21_c	mag	42	95.4545
CHL_ARC_Bin_303_22_c	mag	42	95.4545
CHL_ARC_Bin_303_23_c	mag	37	84.0909
CHL_ARC_Bin_303_24_c	mag	18	40.9091
CHL_ARC_Bin_303_25_c	mag	18	40.9091
CHL_ARC_Bin_303_26_c	mag	30	68.1818
CHL_ARC_Bin_303_28_c	mag	9	20.4545
CHL_ARC_Bin_303_2_c	mag	35	79.5455
CHL_ARC_Bin_303_31_c	mag	7	15.9091
CHL_ARC_Bin_303_32_c	mag	20	45.4545
CHL_ARC_Bin_303_33_c	mag	20	45.4545
CHL_ARC_Bin_303_34_c	mag	41	93.1818
CHL_ARC_Bin_303_35_c	mag	39	88.6364
CHL_ARC_Bin_303_36_c	mag	5	11.3636
CHL_ARC_Bin_303_37_c	mag	40	90.9091
CHL_ARC_Bin_303_39_c	mag	25	56.8182
CHL_ARC_Bin_303_4_c	mag	22	50
CHL_ARC_Bin_303_5_c	mag	42	95.4545
CHL_ARC_Bin_303_6_c	mag	33	75
CHL_ARC_Bin_303_7_c	mag	21	47.7273
CHL_ARC_Bin_303_9_c	mag	23	52.2727
CHL_ARC_Bin_318_1_c	mag	32	72.7273
CHL_ARC_Bin_318_2_c	mag	38	86.3636
CHL_ARC_Bin_318_3_c	mag	31	70.4545
CHL_ARC_Bin_345_1_c	mag	39	88.6364
CHL_ARC_Bin_345_2_c	mag	32	72.7273
CHL_ARC_Bin_345_3_c	mag	29	65.9091
CHL_ARC_Bin_359_10_c	mag	17	38.6364
CHL_ARC_Bin_359_11_c	mag	9	20.4545
CHL_ARC_Bin_359_1_c	mag	11	25
CHL_ARC_Bin_359_2_c	mag	8	18.1818
CHL_ARC_Bin_359_4_c	mag	39	88.6364
CHL_ARC_Bin_359_5_c	mag	11	25
CHL_ARC_Bin_359_7_c	mag	14	31.8182
CHL_ARC_Bin_359_8_c	mag	6	13.6364
CHL_ARC_Bin_378_1_c	mag	33	75
CHL_ARC_Bin_378_2_c	mag	37	84.0909
CHL_ARC_Bin_378_3_c	mag	42	95.4545
CHL_ARC_Bin_378_5_c	mag	28	63.6364
CHL_ARC_Bin_378_6_c	mag	34	77.2727
CHL_ARC_Bin_77_3_c	mag	36	81.8182
CHL_ARC_Bin_77_4_c	mag	11	25
CHL_ION_Bin_101_2_c	mag	28	63.6364
CHL_ION_Bin_102_1_c	mag	16	36.3636
CHL_ION_Bin_126_1_c	mag	16	36.3636
CHL_ION_Bin_126_2_c	mag	17	38.6364
CHL_ION_Bin_126_3_c	mag	25	56.8182
CHL_ION_Bin_126_4_c	mag	15	34.0909
CHL_ION_Bin_131_12_c	mag	38	86.3636
CHL_ION_Bin_131_13_c	mag	15	34.0909
CHL_ION_Bin_131_14_c	mag	42	95.4545
CHL_ION_Bin_131_16_c	mag	6	13.6364
CHL_ION_Bin_131_17_c	mag	22	50
CHL_ION_Bin_131_1_c	mag	21	47.7273
CHL_ION_Bin_131_21_c	mag	41	93.1818
CHL_ION_Bin_131_22_c	mag	33	75
CHL_ION_Bin_131_23_c	mag	44	100
CHL_ION_Bin_131_26_c	mag	16	36.3636
CHL_ION_Bin_131_29_c	mag	15	34.0909
CHL_ION_Bin_131_2_c	mag	41	93.1818
CHL_ION_Bin_131_31_c	mag	22	50
CHL_ION_Bin_131_3_c	mag	21	47.7273
CHL_ION_Bin_131_6_c	mag	40	90.9091
CHL_ION_Bin_131_9_c	mag	19	43.1818
CHL_ION_Bin_135_1_c	mag	23	52.2727
CHL_ION_Bin_135_3_c	mag	36	81.8182
CHL_ION_Bin_135_4_c	mag	19	43.1818
CHL_ION_Bin_157_1_c	mag	21	47.7273
CHL_ION_Bin_157_4_c	mag	34	77.2727
CHL_ION_Bin_67_18_c	mag	27	61.3636
CHL_ION_Bin_67_19_c	mag	27	61.3636
CHL_ION_Bin_67_21_c	mag	27	61.3636
CHL_ION_Bin_67_2_c	mag	15	34.0909
CHL_ION_Bin_67_4_c	mag	28	63.6364
CHL_ION_Bin_67_6_c	mag	16	36.3636
CHL_ION_Bin_67_7_c	mag	25	56.8182
CHL_ION_Bin_67_9_c	mag	16	36.3636
CHL_ION_Bin_84_13_c	mag	39	88.6364
CHL_ION_Bin_84_14_c	mag	21	47.7273
CHL_ION_Bin_84_17_c	mag	20	45.4545
CHL_ION_Bin_84_21_c	mag	44	100
CHL_ION_Bin_84_22_c	mag	44	100
CHL_ION_Bin_84_23_c	mag	41	93.1818
CHL_ION_Bin_84_26_c	mag	44	100
CHL_ION_Bin_84_28_c	mag	41	93.1818
CHL_ION_Bin_84_2_c	mag	31	70.4545
CHL_ION_Bin_84_5_c	mag	26	59.0909
CHL_ION_Bin_84_9_c	mag	26	59.0909
CHL_IOS_Bin_126_12_c	mag	39	88.6364
CHL_IOS_Bin_126_14_c	mag	41	93.1818
CHL_IOS_Bin_126_17_c	mag	40	90.9091
CHL_IOS_Bin_126_4_c	mag	36	81.8182
CHL_IOS_Bin_127_3_c	mag	6	13.6364
CHL_IOS_Bin_127_7_c	mag	31	70.4545
CHL_IOS_Bin_127_9_c	mag	43	97.7273
CHL_IOS_Bin_138_10_c	mag	42	95.4545
CHL_IOS_Bin_138_13_c	mag	16	36.3636
CHL_IOS_Bin_138_15_c	mag	22	50
CHL_IOS_Bin_138_17_c	mag	8	18.1818
CHL_IOS_Bin_138_18_c	mag	44	100
CHL_IOS_Bin_138_1_c	mag	9	20.4545
CHL_IOS_Bin_138_20_c	mag	27	61.3636
CHL_IOS_Bin_138_22_c	mag	13	29.5455
CHL_IOS_Bin_138_24_c	mag	32	72.7273
CHL_IOS_Bin_138_26_c	mag	39	88.6364
CHL_IOS_Bin_138_29_c	mag	12	27.2727
CHL_IOS_Bin_138_2_c	mag	10	22.7273
CHL_IOS_Bin_138_30_c	mag	16	36.3636
CHL_IOS_Bin_138_31_c	mag	19	43.1818
CHL_IOS_Bin_138_32_c	mag	19	43.1818
CHL_IOS_Bin_138_4_c	mag	36	81.8182
CHL_IOS_Bin_138_5_c	mag	17	38.6364
CHL_IOS_Bin_138_9_c	mag	32	72.7273
CHL_IOS_Bin_163_10_c	mag	20	45.4545
CHL_IOS_Bin_163_4_c	mag	32	72.7273
CHL_IOS_Bin_163_5_c	mag	28	63.6364
CHL_IOS_Bin_174_1_c	mag	21	47.7273
CHL_IOS_Bin_174_3_c	mag	15	34.0909
CHL_IOS_Bin_176_10_c	mag	22	50
CHL_IOS_Bin_176_11_c	mag	22	50
CHL_IOS_Bin_176_12_c	mag	12	27.2727
CHL_IOS_Bin_176_15_c	mag	15	34.0909
CHL_IOS_Bin_176_16_c	mag	33	75
CHL_IOS_Bin_176_20_c	mag	33	75
CHL_IOS_Bin_176_5_c	mag	17	38.6364
CHL_IOS_Bin_176_6_c	mag	33	75
CHL_IOS_Bin_176_9_c	mag	42	95.4545
CHL_IOS_Bin_179_2_c	mag	29	65.9091
CHL_IOS_Bin_179_4_c	mag	36	81.8182
CHL_IOS_Bin_179_5_c	mag	30	68.1818
CHL_IOS_Bin_190_5_c	mag	20	45.4545
CHL_IOS_Bin_76_4_c	mag	24	54.5455
CHL_MED_Bin_17_1_c	mag	21	47.7273
CHL_MED_Bin_17_5_c	mag	14	31.8182
CHL_MED_Bin_216_1_c	mag	42	95.4545
CHL_MED_Bin_216_10_c	mag	34	77.2727
CHL_MED_Bin_216_3_c	mag	38	86.3636
CHL_MED_Bin_216_4_1_c	mag	32	72.7273
CHL_MED_Bin_216_4_2_c	mag	12	27.2727
CHL_MED_Bin_216_8_c	mag	28	63.6364
CHL_MED_Bin_236_10_c	mag	9	20.4545
CHL_MED_Bin_236_13_c	mag	16	36.3636
CHL_MED_Bin_236_16_c	mag	11	25
CHL_MED_Bin_236_19_c	mag	18	40.9091
CHL_MED_Bin_236_21_c	mag	17	38.6364
CHL_MED_Bin_236_28_c	mag	13	29.5455
CHL_MED_Bin_236_29_c	mag	24	54.5455
CHL_MED_Bin_236_2_c	mag	23	52.2727
CHL_MED_Bin_236_31_c	mag	19	43.1818
CHL_MED_Bin_236_3_c	mag	16	36.3636
CHL_MED_Bin_236_5_c	mag	9	20.4545
CHL_MED_Bin_236_6_c	mag	6	13.6364
CHL_MED_Bin_236_8_c	mag	28	63.6364
CHL_MED_Bin_250_13_c	mag	29	65.9091
CHL_MED_Bin_250_19_c	mag	38	86.3636
CHL_MED_Bin_250_20_c	mag	27	61.3636
CHL_MED_Bin_250_21_c	mag	34	77.2727
CHL_MED_Bin_250_22_c	mag	39	88.6364
CHL_MED_Bin_250_23_c	mag	23	52.2727
CHL_MED_Bin_250_24_c	mag	17	38.6364
CHL_MED_Bin_250_25_c	mag	18	40.9091
CHL_MED_Bin_250_26_c	mag	28	63.6364
CHL_MED_Bin_250_28_c	mag	25	56.8182
CHL_MED_Bin_250_30_c	mag	16	36.3636
CHL_MED_Bin_250_31_c	mag	20	45.4545
CHL_MED_Bin_250_33_c	mag	18	40.9091
CHL_MED_Bin_250_34_c	mag	13	29.5455
CHL_MED_Bin_250_35_c	mag	39	88.6364
CHL_MED_Bin_250_37_c	mag	18	40.9091
CHL_MED_Bin_250_3_c	mag	26	59.0909
CHL_MED_Bin_250_40_c	mag	25	56.8182
CHL_MED_Bin_250_41_c	mag	34	77.2727
CHL_MED_Bin_250_47_c	mag	26	59.0909
CHL_MED_Bin_250_53_c	mag	39	88.6364
CHL_MED_Bin_250_55_c	mag	23	52.2727
CHL_MED_Bin_250_59_c	mag	21	47.7273
CHL_MED_Bin_250_5_c	mag	23	52.2727
CHL_MED_Bin_250_60_c	mag	25	56.8182
CHL_MED_Bin_250_62_c	mag	17	38.6364
CHL_MED_Bin_250_63_c	mag	34	77.2727
CHL_MED_Bin_250_65_c	mag	30	68.1818
CHL_MED_Bin_250_67_c	mag	38	86.3636
CHL_MED_Bin_250_9_c	mag	43	97.7273
CHL_MED_Bin_262_1_c	mag	41	93.1818
CHL_MED_Bin_262_3_c	mag	28	63.6364
CHL_MED_Bin_263_10_c	mag	34	77.2727
CHL_MED_Bin_263_13_c	mag	42	95.4545
CHL_MED_Bin_263_15_c	mag	25	56.8182
CHL_MED_Bin_263_18_c	mag	44	100
CHL_MED_Bin_263_19_c	mag	32	72.7273
CHL_MED_Bin_263_20_c	mag	35	79.5455
CHL_MED_Bin_263_21_c	mag	38	86.3636
CHL_MED_Bin_263_5_c	mag	44	100
CHL_MED_Bin_263_7_c	mag	43	97.7273
CHL_MED_Bin_263_9_c	mag	37	84.0909
CHL_MED_Bin_332_1_c	mag	38	86.3636
CHL_MED_Bin_332_3_c	mag	19	43.1818
CHL_MED_Bin_332_5_c	mag	27	61.3636
CHL_MED_Bin_373_15_c	mag	27	61.3636
CHL_MED_Bin_373_20_c	mag	42	95.4545
CHL_MED_Bin_373_22_c	mag	44	100
CHL_MED_Bin_373_23_c	mag	20	45.4545
CHL_MED_Bin_373_5_c	mag	23	52.2727
CHL_MED_Bin_373_6_c	mag	21	47.7273
CHL_MED_Bin_373_7_c	mag	43	97.7273
CHL_MED_Bin_384_2_c	mag	17	38.6364
CHL_MED_Bin_72_1_c	mag	7	15.9091
CHL_PON_Bin_100_11_c	mag	41	93.1818
CHL_PON_Bin_100_27_c	mag	30	68.1818
CHL_PON_Bin_100_30_c	mag	40	90.9091
CHL_PON_Bin_100_32_c	mag	27	61.3636
CHL_PON_Bin_100_33_c	mag	40	90.9091
CHL_PON_Bin_100_37_c	mag	44	100
CHL_PON_Bin_100_39_c	mag	42	95.4545
CHL_PON_Bin_100_5_c	mag	37	84.0909
CHL_PON_Bin_100_8_c	mag	29	65.9091
CHL_PON_Bin_102_2_c	mag	21	47.7273
CHL_PON_Bin_125_3_c	mag	30	68.1818
CHL_PON_Bin_125_6_c	mag	41	93.1818
CHL_PON_Bin_171_10_c	mag	11	25
CHL_PON_Bin_171_14_c	mag	13	29.5455
CHL_PON_Bin_171_15_c	mag	27	61.3636
CHL_PON_Bin_171_20_c	mag	22	50
CHL_PON_Bin_171_21_c	mag	28	63.6364
CHL_PON_Bin_171_22_c	mag	27	61.3636
CHL_PON_Bin_171_24_c	mag	29	65.9091
CHL_PON_Bin_171_25_c	mag	44	100
CHL_PON_Bin_171_6_c	mag	30	68.1818
CHL_PON_Bin_171_8_c	mag	30	68.1818
CHL_PON_Bin_171_9_c	mag	29	65.9091
CHL_PON_Bin_179_3_c	mag	27	61.3636
CHL_PON_Bin_179_6_c	mag	20	45.4545
CHL_PON_Bin_179_8_c	mag	16	36.3636
CHL_PON_Bin_183_2_c	mag	13	29.5455
CHL_PON_Bin_183_3_c	mag	35	79.5455
CHL_PON_Bin_64_11_c	mag	40	90.9091
CHL_PON_Bin_64_12_c	mag	43	97.7273
