Taxon	Type	Number of genes
CHL_AOS_Bin_89_2_c	mag	70
CHL_AOS_Bin_89_8_c	mag	162
CHL_ARC_Bin_104_2_c	mag	95
CHL_ARC_Bin_104_3_c	mag	71
CHL_ARC_Bin_104_4_c	mag	91
CHL_ARC_Bin_104_7_c	mag	50
CHL_ARC_Bin_104_8_c	mag	100
CHL_ARC_Bin_104_9_c	mag	54
CHL_ARC_Bin_123_1_c	mag	67
CHL_ARC_Bin_169_1_c	mag	70
CHL_ARC_Bin_171_1_c	mag	122
CHL_ARC_Bin_205_11_c	mag	141
CHL_ARC_Bin_205_16_c	mag	60
CHL_ARC_Bin_205_2_c	mag	70
CHL_ARC_Bin_205_3_c	mag	79
CHL_ARC_Bin_205_4_c	mag	37
CHL_ARC_Bin_205_5_c	mag	92
CHL_ARC_Bin_205_7_c	mag	134
CHL_ARC_Bin_205_8_c	mag	139
CHL_ARC_Bin_205_9_c	mag	90
CHL_ARC_Bin_223_2_c	mag	28
CHL_ARC_Bin_223_3_c	mag	17
CHL_ARC_Bin_223_4_c	mag	40
CHL_ARC_Bin_238_10_c	mag	41
CHL_ARC_Bin_238_11_c	mag	91
CHL_ARC_Bin_238_12_c	mag	123
CHL_ARC_Bin_238_13_c	mag	40
CHL_ARC_Bin_238_14_c	mag	103
CHL_ARC_Bin_238_16_c	mag	115
CHL_ARC_Bin_238_18_c	mag	117
CHL_ARC_Bin_238_19_c	mag	74
CHL_ARC_Bin_238_1_c	mag	117
CHL_ARC_Bin_238_22_c	mag	105
CHL_ARC_Bin_238_23_c	mag	64
CHL_ARC_Bin_238_25_c	mag	105
CHL_ARC_Bin_238_27_c	mag	126
CHL_ARC_Bin_238_28_c	mag	102
CHL_ARC_Bin_238_29_c	mag	89
CHL_ARC_Bin_238_2_c	mag	105
CHL_ARC_Bin_238_30_c	mag	72
CHL_ARC_Bin_238_32_c	mag	54
CHL_ARC_Bin_238_33_c	mag	74
CHL_ARC_Bin_238_34_c	mag	132
CHL_ARC_Bin_238_3_c	mag	118
CHL_ARC_Bin_238_40_c	mag	83
CHL_ARC_Bin_238_41_c	mag	134
CHL_ARC_Bin_238_4_c	mag	100
CHL_ARC_Bin_238_9_c	mag	64
CHL_ARC_Bin_270_13_c	mag	146
CHL_ARC_Bin_270_15_c	mag	52
CHL_ARC_Bin_270_16_1_c	mag	70
CHL_ARC_Bin_270_16_2_c	mag	55
CHL_ARC_Bin_270_19_c	mag	55
CHL_ARC_Bin_270_20_c	mag	75
CHL_ARC_Bin_270_21_c	mag	42
CHL_ARC_Bin_270_3_c	mag	168
CHL_ARC_Bin_270_9_c	mag	77
CHL_ARC_Bin_303_10_c	mag	27
CHL_ARC_Bin_303_11_c	mag	74
CHL_ARC_Bin_303_12_c	mag	127
CHL_ARC_Bin_303_14_c	mag	95
CHL_ARC_Bin_303_15_c	mag	26
CHL_ARC_Bin_303_16_c	mag	128
CHL_ARC_Bin_303_17_c	mag	99
CHL_ARC_Bin_303_19_c	mag	148
CHL_ARC_Bin_303_1_c	mag	129
CHL_ARC_Bin_303_20_c	mag	136
CHL_ARC_Bin_303_21_c	mag	150
CHL_ARC_Bin_303_22_c	mag	149
CHL_ARC_Bin_303_23_c	mag	132
CHL_ARC_Bin_303_24_c	mag	92
CHL_ARC_Bin_303_25_c	mag	68
CHL_ARC_Bin_303_26_c	mag	102
CHL_ARC_Bin_303_28_c	mag	35
CHL_ARC_Bin_303_2_c	mag	110
CHL_ARC_Bin_303_31_c	mag	38
CHL_ARC_Bin_303_32_c	mag	54
CHL_ARC_Bin_303_33_c	mag	79
CHL_ARC_Bin_303_34_c	mag	149
CHL_ARC_Bin_303_35_c	mag	145
CHL_ARC_Bin_303_36_c	mag	31
CHL_ARC_Bin_303_37_c	mag	128
CHL_ARC_Bin_303_39_c	mag	82
CHL_ARC_Bin_303_4_c	mag	86
CHL_ARC_Bin_303_5_c	mag	143
CHL_ARC_Bin_303_6_c	mag	106
CHL_ARC_Bin_303_7_c	mag	81
CHL_ARC_Bin_303_9_c	mag	86
CHL_ARC_Bin_318_1_c	mag	125
CHL_ARC_Bin_318_2_c	mag	86
CHL_ARC_Bin_318_3_c	mag	87
CHL_ARC_Bin_345_1_c	mag	80
CHL_ARC_Bin_345_2_c	mag	61
CHL_ARC_Bin_345_3_c	mag	71
CHL_ARC_Bin_359_10_c	mag	52
CHL_ARC_Bin_359_11_c	mag	33
CHL_ARC_Bin_359_1_c	mag	46
CHL_ARC_Bin_359_2_c	mag	34
CHL_ARC_Bin_359_4_c	mag	117
CHL_ARC_Bin_359_5_c	mag	53
CHL_ARC_Bin_359_7_c	mag	41
CHL_ARC_Bin_359_8_c	mag	36
CHL_ARC_Bin_378_1_c	mag	92
CHL_ARC_Bin_378_2_c	mag	122
CHL_ARC_Bin_378_3_c	mag	134
CHL_ARC_Bin_378_5_c	mag	104
CHL_ARC_Bin_378_6_c	mag	108
CHL_ARC_Bin_77_3_c	mag	126
CHL_ARC_Bin_77_4_c	mag	70
CHL_ION_Bin_101_2_c	mag	96
CHL_ION_Bin_102_1_c	mag	58
CHL_ION_Bin_126_1_c	mag	50
CHL_ION_Bin_126_2_c	mag	59
CHL_ION_Bin_126_3_c	mag	34
CHL_ION_Bin_126_4_c	mag	50
CHL_ION_Bin_131_12_c	mag	142
CHL_ION_Bin_131_13_c	mag	54
CHL_ION_Bin_131_14_c	mag	94
CHL_ION_Bin_131_16_c	mag	40
CHL_ION_Bin_131_17_c	mag	74
CHL_ION_Bin_131_1_c	mag	99
CHL_ION_Bin_131_21_c	mag	125
CHL_ION_Bin_131_22_c	mag	118
CHL_ION_Bin_131_23_c	mag	146
CHL_ION_Bin_131_26_c	mag	65
CHL_ION_Bin_131_29_c	mag	50
CHL_ION_Bin_131_2_c	mag	147
CHL_ION_Bin_131_31_c	mag	98
CHL_ION_Bin_131_3_c	mag	81
CHL_ION_Bin_131_6_c	mag	135
CHL_ION_Bin_131_9_c	mag	73
CHL_ION_Bin_135_1_c	mag	60
CHL_ION_Bin_135_3_c	mag	61
CHL_ION_Bin_135_4_c	mag	65
CHL_ION_Bin_157_1_c	mag	54
CHL_ION_Bin_157_4_c	mag	129
CHL_ION_Bin_67_18_c	mag	100
CHL_ION_Bin_67_19_c	mag	83
CHL_ION_Bin_67_21_c	mag	83
CHL_ION_Bin_67_2_c	mag	68
CHL_ION_Bin_67_4_c	mag	97
CHL_ION_Bin_67_6_c	mag	52
CHL_ION_Bin_67_7_c	mag	67
CHL_ION_Bin_67_9_c	mag	53
CHL_ION_Bin_84_13_c	mag	122
CHL_ION_Bin_84_14_c	mag	83
CHL_ION_Bin_84_17_c	mag	64
CHL_ION_Bin_84_21_c	mag	134
CHL_ION_Bin_84_22_c	mag	98
CHL_ION_Bin_84_23_c	mag	117
CHL_ION_Bin_84_26_c	mag	130
CHL_ION_Bin_84_28_c	mag	129
CHL_ION_Bin_84_2_c	mag	82
CHL_ION_Bin_84_5_c	mag	81
CHL_ION_Bin_84_9_c	mag	91
CHL_IOS_Bin_126_12_c	mag	126
CHL_IOS_Bin_126_14_c	mag	124
CHL_IOS_Bin_126_17_c	mag	88
CHL_IOS_Bin_126_4_c	mag	131
CHL_IOS_Bin_127_3_c	mag	56
CHL_IOS_Bin_127_7_c	mag	60
CHL_IOS_Bin_127_9_c	mag	93
CHL_IOS_Bin_138_10_c	mag	142
CHL_IOS_Bin_138_13_c	mag	83
CHL_IOS_Bin_138_15_c	mag	90
CHL_IOS_Bin_138_17_c	mag	41
CHL_IOS_Bin_138_18_c	mag	150
CHL_IOS_Bin_138_1_c	mag	45
CHL_IOS_Bin_138_20_c	mag	107
CHL_IOS_Bin_138_22_c	mag	48
CHL_IOS_Bin_138_24_c	mag	111
CHL_IOS_Bin_138_26_c	mag	103
CHL_IOS_Bin_138_29_c	mag	56
CHL_IOS_Bin_138_2_c	mag	47
CHL_IOS_Bin_138_30_c	mag	62
CHL_IOS_Bin_138_31_c	mag	72
CHL_IOS_Bin_138_32_c	mag	69
CHL_IOS_Bin_138_4_c	mag	122
CHL_IOS_Bin_138_5_c	mag	79
CHL_IOS_Bin_138_9_c	mag	122
CHL_IOS_Bin_163_10_c	mag	89
CHL_IOS_Bin_163_4_c	mag	88
CHL_IOS_Bin_163_5_c	mag	109
CHL_IOS_Bin_174_1_c	mag	88
CHL_IOS_Bin_174_3_c	mag	46
CHL_IOS_Bin_176_10_c	mag	78
CHL_IOS_Bin_176_11_c	mag	78
CHL_IOS_Bin_176_12_c	mag	30
CHL_IOS_Bin_176_15_c	mag	51
CHL_IOS_Bin_176_16_c	mag	101
CHL_IOS_Bin_176_20_c	mag	122
CHL_IOS_Bin_176_5_c	mag	71
CHL_IOS_Bin_176_6_c	mag	134
CHL_IOS_Bin_176_9_c	mag	149
CHL_IOS_Bin_179_2_c	mag	92
CHL_IOS_Bin_179_4_c	mag	119
CHL_IOS_Bin_179_5_c	mag	98
CHL_IOS_Bin_190_5_c	mag	60
CHL_IOS_Bin_76_4_c	mag	87
CHL_MED_Bin_17_1_c	mag	48
CHL_MED_Bin_17_5_c	mag	28
CHL_MED_Bin_216_1_c	mag	88
CHL_MED_Bin_216_10_c	mag	68
CHL_MED_Bin_216_3_c	mag	82
CHL_MED_Bin_216_4_1_c	mag	76
CHL_MED_Bin_216_4_2_c	mag	26
CHL_MED_Bin_216_8_c	mag	87
CHL_MED_Bin_236_10_c	mag	52
CHL_MED_Bin_236_13_c	mag	76
CHL_MED_Bin_236_16_c	mag	37
CHL_MED_Bin_236_19_c	mag	74
CHL_MED_Bin_236_21_c	mag	75
CHL_MED_Bin_236_28_c	mag	54
CHL_MED_Bin_236_29_c	mag	82
CHL_MED_Bin_236_2_c	mag	86
CHL_MED_Bin_236_31_c	mag	86
CHL_MED_Bin_236_3_c	mag	60
CHL_MED_Bin_236_5_c	mag	31
CHL_MED_Bin_236_6_c	mag	45
CHL_MED_Bin_236_8_c	mag	109
CHL_MED_Bin_250_13_c	mag	61
CHL_MED_Bin_250_19_c	mag	129
CHL_MED_Bin_250_20_c	mag	92
CHL_MED_Bin_250_21_c	mag	108
CHL_MED_Bin_250_22_c	mag	105
CHL_MED_Bin_250_23_c	mag	69
CHL_MED_Bin_250_24_c	mag	74
CHL_MED_Bin_250_25_c	mag	61
CHL_MED_Bin_250_26_c	mag	90
CHL_MED_Bin_250_28_c	mag	69
CHL_MED_Bin_250_30_c	mag	48
CHL_MED_Bin_250_31_c	mag	51
CHL_MED_Bin_250_33_c	mag	51
CHL_MED_Bin_250_34_c	mag	32
CHL_MED_Bin_250_35_c	mag	115
CHL_MED_Bin_250_37_c	mag	67
CHL_MED_Bin_250_3_c	mag	89
CHL_MED_Bin_250_40_c	mag	88
CHL_MED_Bin_250_41_c	mag	92
CHL_MED_Bin_250_47_c	mag	101
CHL_MED_Bin_250_53_c	mag	126
CHL_MED_Bin_250_55_c	mag	63
CHL_MED_Bin_250_59_c	mag	91
CHL_MED_Bin_250_5_c	mag	81
CHL_MED_Bin_250_60_c	mag	83
CHL_MED_Bin_250_62_c	mag	74
CHL_MED_Bin_250_63_c	mag	95
CHL_MED_Bin_250_65_c	mag	103
CHL_MED_Bin_250_67_c	mag	115
CHL_MED_Bin_250_9_c	mag	133
CHL_MED_Bin_262_1_c	mag	142
CHL_MED_Bin_262_3_c	mag	80
CHL_MED_Bin_263_10_c	mag	85
CHL_MED_Bin_263_13_c	mag	115
CHL_MED_Bin_263_15_c	mag	64
CHL_MED_Bin_263_18_c	mag	143
CHL_MED_Bin_263_19_c	mag	80
CHL_MED_Bin_263_20_c	mag	104
CHL_MED_Bin_263_21_c	mag	118
CHL_MED_Bin_263_5_c	mag	132
CHL_MED_Bin_263_7_c	mag	143
CHL_MED_Bin_263_9_c	mag	143
CHL_MED_Bin_332_1_c	mag	144
CHL_MED_Bin_332_3_c	mag	78
CHL_MED_Bin_332_5_c	mag	113
CHL_MED_Bin_373_15_c	mag	107
CHL_MED_Bin_373_20_c	mag	129
CHL_MED_Bin_373_22_c	mag	144
CHL_MED_Bin_373_23_c	mag	73
CHL_MED_Bin_373_5_c	mag	92
CHL_MED_Bin_373_6_c	mag	71
CHL_MED_Bin_373_7_c	mag	155
CHL_MED_Bin_384_2_c	mag	45
CHL_MED_Bin_72_1_c	mag	42
CHL_PON_Bin_100_11_c	mag	127
CHL_PON_Bin_100_27_c	mag	110
CHL_PON_Bin_100_30_c	mag	118
CHL_PON_Bin_100_32_c	mag	102
CHL_PON_Bin_100_33_c	mag	88
CHL_PON_Bin_100_37_c	mag	132
CHL_PON_Bin_100_39_c	mag	131
CHL_PON_Bin_100_5_c	mag	135
CHL_PON_Bin_100_8_c	mag	97
CHL_PON_Bin_102_2_c	mag	74
CHL_PON_Bin_125_3_c	mag	110
CHL_PON_Bin_125_6_c	mag	85
CHL_PON_Bin_171_10_c	mag	58
CHL_PON_Bin_171_14_c	mag	34
CHL_PON_Bin_171_15_c	mag	126
CHL_PON_Bin_171_20_c	mag	71
CHL_PON_Bin_171_21_c	mag	91
CHL_PON_Bin_171_22_c	mag	98
CHL_PON_Bin_171_24_c	mag	105
CHL_PON_Bin_171_25_c	mag	151
CHL_PON_Bin_171_6_c	mag	92
CHL_PON_Bin_171_8_c	mag	121
CHL_PON_Bin_171_9_c	mag	102
CHL_PON_Bin_179_3_c	mag	101
CHL_PON_Bin_179_6_c	mag	69
CHL_PON_Bin_179_8_c	mag	51
CHL_PON_Bin_183_2_c	mag	55
CHL_PON_Bin_183_3_c	mag	123
CHL_PON_Bin_64_11_c	mag	123
CHL_PON_Bin_64_12_c	mag	158
CHL_PON_Bin_64_14_c	mag	91
CHL_PON_Bin_64_15_c	mag	43
CHL_PON_Bin_64_18_c	mag	55
CHL_PON_Bin_64_19_c	mag	79
CHL_PON_Bin_64_20_c	mag	103
CHL_PON_Bin_64_22_c	mag	123
CHL_PON_Bin_64_25_c	mag	46
CHL_PON_Bin_64_26_c	mag	82
CHL_PON_Bin_64_3_c	mag	68
CHL_PON_Bin_64_8_c	mag	88
CHL_PSE_Bin_102_5_c	mag	101
CHL_PSE_Bin_102_6_c	mag	73
CHL_PSE_Bin_121_10_c	mag	93
CHL_PSE_Bin_121_13_c	mag	72
CHL_PSE_Bin_121_14_c	mag	48
CHL_PSE_Bin_121_1_c	mag	83
CHL_PSE_Bin_121_5_1_c	mag	74
CHL_PSE_Bin_121_6_c	mag	92
CHL_PSE_Bin_121_7_c	mag	68
CHL_PSE_Bin_121_8_c	mag	81
CHL_PSE_Bin_121_9_c	mag	65
CHL_PSE_Bin_123_3_c	mag	95
CHL_PSE_Bin_149_2_c	mag	30
CHL_PSE_Bin_149_3_c	mag	116
CHL_PSE_Bin_149_4_c	mag	79
CHL_PSE_Bin_149_6_c	mag	30
CHL_PSE_Bin_149_7_c	mag	116
CHL_PSE_Bin_160_10_c	mag	118
CHL_PSE_Bin_160_12_c	mag	95
CHL_PSE_Bin_160_13_c	mag	131
CHL_PSE_Bin_160_14_c	mag	81
CHL_PSE_Bin_160_15_c	mag	70
CHL_PSE_Bin_160_17_c	mag	132
CHL_PSE_Bin_160_18_c	mag	153
CHL_PSE_Bin_160_1_c	mag	82
CHL_PSE_Bin_160_2_c	mag	71
CHL_PSE_Bin_160_4_c	mag	111
CHL_PSE_Bin_160_5_c	mag	88
CHL_PSE_Bin_160_6_c	mag	74
CHL_PSE_Bin_160_7_c	mag	104
CHL_PSE_Bin_165_1_c	mag	94
CHL_PSE_Bin_178_10_c	mag	117
CHL_PSE_Bin_178_13_c	mag	48
CHL_PSE_Bin_178_29_c	mag	128
CHL_PSE_Bin_178_45_c	mag	90
CHL_PSE_Bin_180_1_c	mag	105
CHL_PSE_Bin_180_2_c	mag	43
CHL_PSE_Bin_54_2_c	mag	80
CHL_PSE_Bin_54_5_c	mag	34
CHL_PSE_Bin_77_3_c	mag	103
CHL_PSE_Bin_77_9_c	mag	68
CHL_PSE_Bin_83_1_c	mag	93
CHL_PSE_Bin_83_2_c	mag	64
CHL_PSE_Bin_83_3_c	mag	90
CHL_PSW_Bin_103_11_c	mag	97
CHL_PSW_Bin_103_12_c	mag	119
CHL_PSW_Bin_103_14_c	mag	84
CHL_PSW_Bin_103_16_c	mag	67
CHL_PSW_Bin_103_3_c	mag	83
CHL_PSW_Bin_103_4_c	mag	95
CHL_PSW_Bin_103_5_c	mag	60
CHL_PSW_Bin_103_9_c	mag	69
CHL_PSW_Bin_118_12_c	mag	117
CHL_PSW_Bin_118_13_c	mag	127
CHL_PSW_Bin_118_8_c	mag	84
CHL_PSW_Bin_163_10_c	mag	55
CHL_PSW_Bin_163_16_c	mag	97
CHL_PSW_Bin_163_28_c	mag	48
CHL_PSW_Bin_163_30_c	mag	62
CHL_PSW_Bin_163_31_c	mag	83
CHL_PSW_Bin_163_33_c	mag	66
CHL_PSW_Bin_163_5_c	mag	90
CHL_PSW_Bin_165_1_c	mag	74
CHL_PSW_Bin_165_3_c	mag	153
CHL_PSW_Bin_165_4_c	mag	133
CHL_PSW_Bin_166_11_c	mag	80
CHL_PSW_Bin_166_24_c	mag	89
CHL_PSW_Bin_166_29_c	mag	38
CHL_PSW_Bin_166_31_c	mag	51
CHL_PSW_Bin_166_32_c	mag	40
CHL_PSW_Bin_166_35_c	mag	122
CHL_PSW_Bin_166_39_c	mag	152
CHL_PSW_Bin_166_3_c	mag	67
CHL_PSW_Bin_166_40_c	mag	156
CHL_PSW_Bin_166_48_c	mag	58
CHL_PSW_Bin_166_4_c	mag	40
CHL_PSW_Bin_166_6_c	mag	93
CHL_PSW_Bin_169_13_c	mag	73
CHL_PSW_Bin_169_14_c	mag	83
CHL_PSW_Bin_169_15_c	mag	64
CHL_PSW_Bin_169_16_c	mag	69
CHL_PSW_Bin_169_18_c	mag	35
CHL_PSW_Bin_169_19_c	mag	148
CHL_PSW_Bin_169_1_c	mag	42
CHL_PSW_Bin_169_21_c	mag	42
CHL_PSW_Bin_169_23_c	mag	95
CHL_PSW_Bin_169_24_c	mag	147
CHL_PSW_Bin_169_2_c	mag	73
CHL_PSW_Bin_169_3_c	mag	76
CHL_PSW_Bin_169_4_c	mag	70
CHL_PSW_Bin_169_7_c	mag	112
CHL_PSW_Bin_169_8_c	mag	105
CHL_PSW_Bin_50_1_c	mag	57
CHL_PSW_Bin_61_1_c	mag	99
CHL_PSW_Bin_61_4_c	mag	76
