Taxon	Type	Size
CHL_AON_Bin_184_63_c	mag	72003
CHL_AON_Bin_184_65_c	mag	81107
CHL_AON_Bin_184_66_c	mag	66960
CHL_AON_Bin_184_68_c	mag	79836
CHL_AON_Bin_184_6_c	mag	33766
CHL_AON_Bin_184_70_c	mag	76362
CHL_AON_Bin_184_71_c	mag	84479
CHL_AON_Bin_184_73_c	mag	88552
CHL_AON_Bin_184_75_c	mag	86382
CHL_AON_Bin_184_76_c	mag	50843
CHL_AON_Bin_184_77_c	mag	90422
CHL_AON_Bin_184_78_c	mag	90923
CHL_AON_Bin_184_79_c	mag	91323
CHL_AON_Bin_184_81_c	mag	82707
CHL_AON_Bin_184_82_c	mag	92723
CHL_AON_Bin_184_83_c	mag	86001
CHL_AON_Bin_184_85_c	mag	96108
CHL_AON_Bin_184_87_c	mag	99209
CHL_AON_Bin_184_88_c	mag	93904
CHL_AON_Bin_184_89_c	mag	104641
CHL_AON_Bin_184_90_c	mag	112458
CHL_AON_Bin_184_91_c	mag	88801
CHL_AON_Bin_184_92_c	mag	49437
CHL_AON_Bin_206_3_c	mag	72442
CHL_AON_Bin_218_12_c	mag	69265
CHL_AON_Bin_218_15_c	mag	71408
CHL_AON_Bin_218_18_c	mag	82084
CHL_AON_Bin_218_19_c	mag	87945
CHL_AON_Bin_218_1_c	mag	102050
CHL_AON_Bin_218_20_c	mag	72204
CHL_AON_Bin_218_22_c	mag	61169
CHL_AON_Bin_218_24_c	mag	31421
CHL_AON_Bin_218_25_c	mag	24123
CHL_AON_Bin_218_26_c	mag	63974
CHL_AON_Bin_218_27_c	mag	62371
CHL_AON_Bin_218_29_c	mag	82207
CHL_AON_Bin_218_2_c	mag	102096
CHL_AON_Bin_218_30_c	mag	73450
CHL_AON_Bin_218_32_c	mag	58386
CHL_AON_Bin_218_34_c	mag	96950
CHL_AON_Bin_218_35_c	mag	107550
CHL_AON_Bin_218_36_c	mag	60931
CHL_AON_Bin_218_37_c	mag	38626
CHL_AON_Bin_218_38_c	mag	74304
CHL_AON_Bin_218_41_c	mag	91984
CHL_AON_Bin_218_42_c	mag	101763
CHL_AON_Bin_218_43_c	mag	93296
CHL_AON_Bin_218_44_c	mag	113932
CHL_AON_Bin_218_46_c	mag	72051
CHL_AON_Bin_218_4_c	mag	93718
CHL_AON_Bin_218_6_c	mag	80991
CHL_AON_Bin_218_7_c	mag	90673
CHL_AON_Bin_218_8_c	mag	88297
CHL_AON_Bin_220_12_c	mag	60825
CHL_AON_Bin_220_13_c	mag	86869
CHL_AON_Bin_220_17_c	mag	20571
CHL_AON_Bin_220_18_c	mag	78990
CHL_AON_Bin_220_19_c	mag	81709
CHL_AON_Bin_220_24_c	mag	69185
CHL_AON_Bin_220_25_c	mag	71920
CHL_AON_Bin_220_30_c	mag	72802
CHL_AON_Bin_220_31_c	mag	62112
CHL_AON_Bin_220_32_c	mag	96686
CHL_AON_Bin_220_34_c	mag	64881
CHL_AON_Bin_220_35_c	mag	98830
CHL_AON_Bin_220_36_c	mag	63210
CHL_AON_Bin_220_39_c	mag	83275
CHL_AON_Bin_220_6_c	mag	64983
CHL_AON_Bin_220_7_c	mag	103031
CHL_AON_Bin_222_1_c	mag	55831
CHL_AON_Bin_222_2_c	mag	57234
CHL_AON_Bin_222_3_c	mag	65258
CHL_AON_Bin_238_2_c	mag	35933
CHL_AON_Bin_238_9_c	mag	66088
CHL_AON_Bin_248_3_c	mag	52241
CHL_AON_Bin_248_4_c	mag	39147
CHL_AON_Bin_264_5_c	mag	48166
CHL_AON_Bin_270_2_c	mag	39558
CHL_AON_Bin_293_3_c	mag	54435
CHL_AON_Bin_293_4_c	mag	82514
CHL_AON_Bin_293_5_c	mag	96781
CHL_AOS_Bin_102_10_c	mag	21171
CHL_AOS_Bin_102_11_c	mag	43256
CHL_AOS_Bin_102_15_c	mag	69485
CHL_AOS_Bin_102_18_c	mag	59337
CHL_AOS_Bin_102_19_c	mag	66440
CHL_AOS_Bin_102_1_c	mag	65544
CHL_AOS_Bin_102_25_c	mag	61335
CHL_AOS_Bin_102_27_c	mag	64475
CHL_AOS_Bin_102_28_c	mag	34785
CHL_AOS_Bin_102_29_c	mag	58030
CHL_AOS_Bin_102_30_c	mag	76000
CHL_AOS_Bin_102_32_c	mag	65981
CHL_AOS_Bin_102_33_c	mag	83196
CHL_AOS_Bin_102_7_c	mag	75288
CHL_AOS_Bin_125_20_c	mag	52276
CHL_AOS_Bin_125_27_c	mag	66745
CHL_AOS_Bin_125_2_c	mag	81972
CHL_AOS_Bin_125_31_c	mag	71472
CHL_AOS_Bin_125_32_c	mag	52754
CHL_AOS_Bin_125_33_c	mag	50958
CHL_AOS_Bin_125_38_c	mag	24433
CHL_AOS_Bin_125_39_c	mag	71692
CHL_AOS_Bin_125_3_c	mag	46569
CHL_AOS_Bin_125_40_c	mag	56838
CHL_AOS_Bin_125_42_c	mag	98375
CHL_AOS_Bin_125_4_c	mag	57672
CHL_AOS_Bin_125_5_c	mag	55808
CHL_AOS_Bin_125_7_c	mag	85491
CHL_AOS_Bin_138_1_c	mag	78252
CHL_AOS_Bin_138_2_c	mag	61722
CHL_AOS_Bin_139_10_c	mag	40884
CHL_AOS_Bin_139_1_c	mag	74033
CHL_AOS_Bin_139_6_c	mag	81908
CHL_AOS_Bin_139_8_c	mag	21998
CHL_AOS_Bin_143_10_c	mag	64923
CHL_AOS_Bin_143_1_c	mag	86823
CHL_AOS_Bin_143_4_c	mag	70214
CHL_AOS_Bin_143_7_c	mag	57783
CHL_AOS_Bin_162_10_c	mag	112675
CHL_AOS_Bin_162_11_c	mag	48119
CHL_AOS_Bin_162_13_c	mag	94222
CHL_AOS_Bin_162_16_c	mag	88292
CHL_AOS_Bin_162_17_c	mag	39741
CHL_AOS_Bin_162_18_c	mag	85816
CHL_AOS_Bin_162_1_c	mag	63446
CHL_AOS_Bin_162_21_c	mag	92436
CHL_AOS_Bin_162_23_c	mag	102665
CHL_AOS_Bin_162_24_c	mag	97031
CHL_AOS_Bin_162_26_c	mag	96048
CHL_AOS_Bin_162_27_c	mag	69472
CHL_AOS_Bin_162_5_c	mag	69316
CHL_AOS_Bin_162_6_c	mag	72934
CHL_AOS_Bin_166_1_c	mag	81082
CHL_AOS_Bin_166_4_c	mag	36711
CHL_AOS_Bin_166_7_c	mag	118091
CHL_AOS_Bin_173_3_c	mag	99479
CHL_AOS_Bin_173_4_c	mag	91818
CHL_AOS_Bin_179_11_c	mag	61626
CHL_AOS_Bin_179_12_c	mag	113006
CHL_AOS_Bin_179_13_c	mag	104606
CHL_AOS_Bin_179_14_c	mag	69415
CHL_AOS_Bin_179_15_c	mag	92646
CHL_AOS_Bin_179_16_c	mag	101065
CHL_AOS_Bin_179_19_c	mag	48765
CHL_AOS_Bin_179_1_c	mag	110359
CHL_AOS_Bin_179_22_c	mag	73781
CHL_AOS_Bin_179_23_c	mag	113582
CHL_AOS_Bin_179_24_c	mag	61715
CHL_AOS_Bin_179_25_c	mag	69320
CHL_AOS_Bin_179_27_c	mag	65027
CHL_AOS_Bin_179_28_c	mag	67689
CHL_AOS_Bin_179_32_c	mag	42089
CHL_AOS_Bin_179_3_c	mag	65714
CHL_AOS_Bin_179_4_c	mag	76797
CHL_AOS_Bin_179_6_c	mag	86338
CHL_AOS_Bin_179_7_c	mag	44728
CHL_AOS_Bin_83_4_c	mag	39619
CHL_AOS_Bin_89_2_c	mag	65837
CHL_AOS_Bin_89_8_c	mag	118482
CHL_ARC_Bin_104_2_c	mag	64510
CHL_ARC_Bin_104_3_c	mag	48826
CHL_ARC_Bin_104_4_c	mag	68900
CHL_ARC_Bin_104_7_c	mag	31028
CHL_ARC_Bin_104_8_c	mag	64017
CHL_ARC_Bin_104_9_c	mag	24243
CHL_ARC_Bin_123_1_c	mag	43550
CHL_ARC_Bin_169_1_c	mag	56288
CHL_ARC_Bin_171_1_c	mag	98215
CHL_ARC_Bin_205_11_c	mag	109212
CHL_ARC_Bin_205_16_c	mag	43815
CHL_ARC_Bin_205_2_c	mag	53420
CHL_ARC_Bin_205_3_c	mag	75308
CHL_ARC_Bin_205_4_c	mag	38251
CHL_ARC_Bin_205_5_c	mag	68639
CHL_ARC_Bin_205_7_c	mag	94883
CHL_ARC_Bin_205_8_c	mag	97863
CHL_ARC_Bin_205_9_c	mag	64425
CHL_ARC_Bin_223_2_c	mag	28071
CHL_ARC_Bin_223_3_c	mag	20025
CHL_ARC_Bin_223_4_c	mag	44745
CHL_ARC_Bin_238_10_c	mag	28303
CHL_ARC_Bin_238_11_c	mag	79378
CHL_ARC_Bin_238_12_c	mag	94792
CHL_ARC_Bin_238_13_c	mag	30172
CHL_ARC_Bin_238_14_c	mag	81285
CHL_ARC_Bin_238_16_c	mag	78715
CHL_ARC_Bin_238_18_c	mag	85483
CHL_ARC_Bin_238_19_c	mag	60502
CHL_ARC_Bin_238_1_c	mag	82669
CHL_ARC_Bin_238_22_c	mag	75296
CHL_ARC_Bin_238_23_c	mag	50035
CHL_ARC_Bin_238_25_c	mag	100115
CHL_ARC_Bin_238_27_c	mag	95140
CHL_ARC_Bin_238_28_c	mag	82530
CHL_ARC_Bin_238_29_c	mag	69398
CHL_ARC_Bin_238_2_c	mag	78793
CHL_ARC_Bin_238_30_c	mag	52247
CHL_ARC_Bin_238_32_c	mag	37967
CHL_ARC_Bin_238_33_c	mag	53795
CHL_ARC_Bin_238_34_c	mag	97765
CHL_ARC_Bin_238_3_c	mag	91126
CHL_ARC_Bin_238_40_c	mag	61136
CHL_ARC_Bin_238_41_c	mag	94005
CHL_ARC_Bin_238_4_c	mag	75542
CHL_ARC_Bin_238_9_c	mag	38663
CHL_ARC_Bin_270_13_c	mag	95208
CHL_ARC_Bin_270_15_c	mag	42128
CHL_ARC_Bin_270_16_1_c	mag	55432
CHL_ARC_Bin_270_16_2_c	mag	43040
CHL_ARC_Bin_270_19_c	mag	46868
CHL_ARC_Bin_270_20_c	mag	55395
CHL_ARC_Bin_270_21_c	mag	31570
CHL_ARC_Bin_270_3_c	mag	120999
CHL_ARC_Bin_270_9_c	mag	54027
CHL_ARC_Bin_303_10_c	mag	27147
CHL_ARC_Bin_303_11_c	mag	56627
CHL_ARC_Bin_303_12_c	mag	90798
CHL_ARC_Bin_303_14_c	mag	74754
CHL_ARC_Bin_303_15_c	mag	23828
CHL_ARC_Bin_303_16_c	mag	105206
CHL_ARC_Bin_303_17_c	mag	69987
CHL_ARC_Bin_303_19_c	mag	107618
CHL_ARC_Bin_303_1_c	mag	90816
CHL_ARC_Bin_303_20_c	mag	96396
CHL_ARC_Bin_303_21_c	mag	107277
CHL_ARC_Bin_303_22_c	mag	101487
CHL_ARC_Bin_303_23_c	mag	88109
CHL_ARC_Bin_303_24_c	mag	87187
CHL_ARC_Bin_303_25_c	mag	56596
CHL_ARC_Bin_303_26_c	mag	84557
CHL_ARC_Bin_303_28_c	mag	25390
CHL_ARC_Bin_303_2_c	mag	79125
CHL_ARC_Bin_303_31_c	mag	37581
CHL_ARC_Bin_303_32_c	mag	45740
CHL_ARC_Bin_303_33_c	mag	71443
CHL_ARC_Bin_303_34_c	mag	100123
CHL_ARC_Bin_303_35_c	mag	124486
CHL_ARC_Bin_303_36_c	mag	29445
CHL_ARC_Bin_303_37_c	mag	84773
CHL_ARC_Bin_303_39_c	mag	53259
CHL_ARC_Bin_303_4_c	mag	60257
CHL_ARC_Bin_303_5_c	mag	103957
CHL_ARC_Bin_303_6_c	mag	75599
CHL_ARC_Bin_303_7_c	mag	60180
CHL_ARC_Bin_303_9_c	mag	60761
CHL_ARC_Bin_318_1_c	mag	83343
CHL_ARC_Bin_318_2_c	mag	84788
CHL_ARC_Bin_318_3_c	mag	55303
CHL_ARC_Bin_345_1_c	mag	85743
CHL_ARC_Bin_345_2_c	mag	50511
CHL_ARC_Bin_345_3_c	mag	66083
CHL_ARC_Bin_359_10_c	mag	39161
CHL_ARC_Bin_359_11_c	mag	31064
CHL_ARC_Bin_359_1_c	mag	44730
CHL_ARC_Bin_359_2_c	mag	29824
CHL_ARC_Bin_359_4_c	mag	79590
CHL_ARC_Bin_359_5_c	mag	44795
CHL_ARC_Bin_359_7_c	mag	28337
CHL_ARC_Bin_359_8_c	mag	28282
CHL_ARC_Bin_378_1_c	mag	62070
CHL_ARC_Bin_378_2_c	mag	83283
CHL_ARC_Bin_378_3_c	mag	90112
CHL_ARC_Bin_378_5_c	mag	76045
CHL_ARC_Bin_378_6_c	mag	77688
CHL_ARC_Bin_77_3_c	mag	85635
CHL_ARC_Bin_77_4_c	mag	68163
CHL_ION_Bin_101_2_c	mag	73264
CHL_ION_Bin_102_1_c	mag	43517
CHL_ION_Bin_126_1_c	mag	36652
CHL_ION_Bin_126_2_c	mag	48508
CHL_ION_Bin_126_3_c	mag	28973
CHL_ION_Bin_126_4_c	mag	40390
CHL_ION_Bin_131_12_c	mag	96104
CHL_ION_Bin_131_13_c	mag	42129
CHL_ION_Bin_131_14_c	mag	65388
CHL_ION_Bin_131_16_c	mag	35520
CHL_ION_Bin_131_17_c	mag	53462
CHL_ION_Bin_131_1_c	mag	69097
CHL_ION_Bin_131_21_c	mag	81916
CHL_ION_Bin_131_22_c	mag	87280
CHL_ION_Bin_131_23_c	mag	97008
CHL_ION_Bin_131_26_c	mag	46323
CHL_ION_Bin_131_29_c	mag	37827
CHL_ION_Bin_131_2_c	mag	110662
CHL_ION_Bin_131_31_c	mag	63376
CHL_ION_Bin_131_3_c	mag	53014
CHL_ION_Bin_131_6_c	mag	110943
CHL_ION_Bin_131_9_c	mag	59822
CHL_ION_Bin_135_1_c	mag	47211
CHL_ION_Bin_135_3_c	mag	39148
CHL_ION_Bin_135_4_c	mag	52439
CHL_ION_Bin_157_1_c	mag	51141
CHL_ION_Bin_157_4_c	mag	92749
CHL_ION_Bin_67_18_c	mag	79583
CHL_ION_Bin_67_19_c	mag	56412
CHL_ION_Bin_67_21_c	mag	56418
CHL_ION_Bin_67_2_c	mag	47728
CHL_ION_Bin_67_4_c	mag	65363
CHL_ION_Bin_67_6_c	mag	35243
CHL_ION_Bin_67_7_c	mag	59656
CHL_ION_Bin_67_9_c	mag	43720
CHL_ION_Bin_84_13_c	mag	73207
CHL_ION_Bin_84_14_c	mag	62725
CHL_ION_Bin_84_17_c	mag	44811
CHL_ION_Bin_84_21_c	mag	95054
CHL_ION_Bin_84_22_c	mag	67654
CHL_ION_Bin_84_23_c	mag	81982
CHL_ION_Bin_84_26_c	mag	91335
CHL_ION_Bin_84_28_c	mag	91488
CHL_ION_Bin_84_2_c	mag	57362
CHL_ION_Bin_84_5_c	mag	56031
CHL_ION_Bin_84_9_c	mag	66666
CHL_IOS_Bin_126_12_c	mag	92819
CHL_IOS_Bin_126_14_c	mag	86393
CHL_IOS_Bin_126_17_c	mag	54684
CHL_IOS_Bin_126_4_c	mag	94761
CHL_IOS_Bin_127_3_c	mag	36901
CHL_IOS_Bin_127_7_c	mag	41344
CHL_IOS_Bin_127_9_c	mag	67496
CHL_IOS_Bin_138_10_c	mag	93447
CHL_IOS_Bin_138_13_c	mag	63120
CHL_IOS_Bin_138_15_c	mag	59316
CHL_IOS_Bin_138_17_c	mag	34684
CHL_IOS_Bin_138_18_c	mag	101252
CHL_IOS_Bin_138_1_c	mag	36400
CHL_IOS_Bin_138_20_c	mag	69169
CHL_IOS_Bin_138_22_c	mag	27773
CHL_IOS_Bin_138_24_c	mag	75496
CHL_IOS_Bin_138_26_c	mag	169698
CHL_IOS_Bin_138_29_c	mag	36826
CHL_IOS_Bin_138_2_c	mag	34322
CHL_IOS_Bin_138_30_c	mag	47714
CHL_IOS_Bin_138_31_c	mag	57001
CHL_IOS_Bin_138_32_c	mag	46558
CHL_IOS_Bin_138_4_c	mag	88041
CHL_IOS_Bin_138_5_c	mag	55744
CHL_IOS_Bin_138_9_c	mag	84725
CHL_IOS_Bin_163_10_c	mag	59519
CHL_IOS_Bin_163_4_c	mag	49773
CHL_IOS_Bin_163_5_c	mag	75056
CHL_IOS_Bin_174_1_c	mag	56007
CHL_IOS_Bin_174_3_c	mag	34334
CHL_IOS_Bin_176_10_c	mag	48966
CHL_IOS_Bin_176_11_c	mag	55192
CHL_IOS_Bin_176_12_c	mag	30299
CHL_IOS_Bin_176_15_c	mag	39439
CHL_IOS_Bin_176_16_c	mag	82009
CHL_IOS_Bin_176_20_c	mag	88384
CHL_IOS_Bin_176_5_c	mag	51654
CHL_IOS_Bin_176_6_c	mag	86423
CHL_IOS_Bin_176_9_c	mag	106464
CHL_IOS_Bin_179_2_c	mag	63758
CHL_IOS_Bin_179_4_c	mag	84249
CHL_IOS_Bin_179_5_c	mag	69935
CHL_IOS_Bin_190_5_c	mag	66564
CHL_IOS_Bin_76_4_c	mag	61886
CHL_MED_Bin_17_1_c	mag	36432
CHL_MED_Bin_17_5_c	mag	19814
CHL_MED_Bin_216_1_c	mag	63219
CHL_MED_Bin_216_10_c	mag	61615
CHL_MED_Bin_216_3_c	mag	81930
CHL_MED_Bin_216_4_1_c	mag	70696
CHL_MED_Bin_216_4_2_c	mag	24030
CHL_MED_Bin_216_8_c	mag	54462
CHL_MED_Bin_236_10_c	mag	55202
CHL_MED_Bin_236_13_c	mag	56473
CHL_MED_Bin_236_16_c	mag	34025
CHL_MED_Bin_236_19_c	mag	46334
CHL_MED_Bin_236_21_c	mag	61607
CHL_MED_Bin_236_28_c	mag	46579
CHL_MED_Bin_236_29_c	mag	59619
CHL_MED_Bin_236_2_c	mag	61589
CHL_MED_Bin_236_31_c	mag	62630
CHL_MED_Bin_236_3_c	mag	47807
CHL_MED_Bin_236_5_c	mag	27560
CHL_MED_Bin_236_6_c	mag	41300
CHL_MED_Bin_236_8_c	mag	79779
CHL_MED_Bin_250_13_c	mag	47125
CHL_MED_Bin_250_19_c	mag	79383
CHL_MED_Bin_250_20_c	mag	58297
CHL_MED_Bin_250_21_c	mag	80142
CHL_MED_Bin_250_22_c	mag	72041
CHL_MED_Bin_250_23_c	mag	49663
CHL_MED_Bin_250_24_c	mag	58742
CHL_MED_Bin_250_25_c	mag	49167
CHL_MED_Bin_250_26_c	mag	66820
CHL_MED_Bin_250_28_c	mag	65709
CHL_MED_Bin_250_30_c	mag	36679
CHL_MED_Bin_250_31_c	mag	42640
CHL_MED_Bin_250_33_c	mag	35899
CHL_MED_Bin_250_34_c	mag	22452
CHL_MED_Bin_250_35_c	mag	87291
CHL_MED_Bin_250_37_c	mag	52075
CHL_MED_Bin_250_3_c	mag	63672
CHL_MED_Bin_250_40_c	mag	63477
CHL_MED_Bin_250_41_c	mag	66005
CHL_MED_Bin_250_47_c	mag	75641
CHL_MED_Bin_250_53_c	mag	81078
CHL_MED_Bin_250_55_c	mag	43698
CHL_MED_Bin_250_59_c	mag	59928
CHL_MED_Bin_250_5_c	mag	48920
CHL_MED_Bin_250_60_c	mag	61849
CHL_MED_Bin_250_62_c	mag	56604
CHL_MED_Bin_250_63_c	mag	70107
CHL_MED_Bin_250_65_c	mag	76180
CHL_MED_Bin_250_67_c	mag	80412
CHL_MED_Bin_250_9_c	mag	90872
CHL_MED_Bin_262_1_c	mag	98110
CHL_MED_Bin_262_3_c	mag	56313
CHL_MED_Bin_263_10_c	mag	86818
CHL_MED_Bin_263_13_c	mag	79096
CHL_MED_Bin_263_15_c	mag	45606
CHL_MED_Bin_263_18_c	mag	107797
CHL_MED_Bin_263_19_c	mag	44921
CHL_MED_Bin_263_20_c	mag	81903
CHL_MED_Bin_263_21_c	mag	84743
CHL_MED_Bin_263_5_c	mag	96395
CHL_MED_Bin_263_7_c	mag	97564
CHL_MED_Bin_263_9_c	mag	116348
CHL_MED_Bin_332_1_c	mag	92448
CHL_MED_Bin_332_3_c	mag	59821
CHL_MED_Bin_332_5_c	mag	85419
CHL_MED_Bin_373_15_c	mag	92649
CHL_MED_Bin_373_20_c	mag	90713
CHL_MED_Bin_373_22_c	mag	95584
CHL_MED_Bin_373_23_c	mag	45841
CHL_MED_Bin_373_5_c	mag	66521
CHL_MED_Bin_373_6_c	mag	53731
CHL_MED_Bin_373_7_c	mag	106179
CHL_MED_Bin_384_2_c	mag	30947
CHL_MED_Bin_72_1_c	mag	34886
CHL_PON_Bin_100_11_c	mag	91187
CHL_PON_Bin_100_27_c	mag	85228
CHL_PON_Bin_100_30_c	mag	83531
CHL_PON_Bin_100_32_c	mag	69222
CHL_PON_Bin_100_33_c	mag	64164
CHL_PON_Bin_100_37_c	mag	95947
CHL_PON_Bin_100_39_c	mag	93609
CHL_PON_Bin_100_5_c	mag	99318
CHL_PON_Bin_100_8_c	mag	66670
CHL_PON_Bin_102_2_c	mag	60558
CHL_PON_Bin_125_3_c	mag	82447
CHL_PON_Bin_125_6_c	mag	79609
CHL_PON_Bin_171_10_c	mag	51746
CHL_PON_Bin_171_14_c	mag	21492
CHL_PON_Bin_171_15_c	mag	102246
CHL_PON_Bin_171_20_c	mag	47964
CHL_PON_Bin_171_21_c	mag	70178
CHL_PON_Bin_171_22_c	mag	61961
CHL_PON_Bin_171_24_c	mag	72197
CHL_PON_Bin_171_25_c	mag	111282
CHL_PON_Bin_171_6_c	mag	64235
CHL_PON_Bin_171_8_c	mag	98122
CHL_PON_Bin_171_9_c	mag	85308
CHL_PON_Bin_179_3_c	mag	71778
CHL_PON_Bin_179_6_c	mag	52580
CHL_PON_Bin_179_8_c	mag	39330
CHL_PON_Bin_183_2_c	mag	36086
CHL_PON_Bin_183_3_c	mag	79001
CHL_PON_Bin_64_11_c	mag	86705
CHL_PON_Bin_64_12_c	mag	367850
CHL_PON_Bin_64_14_c	mag	153113
CHL_PON_Bin_64_15_c	mag	43547
CHL_PON_Bin_64_18_c	mag	40449
CHL_PON_Bin_64_19_c	mag	58915
CHL_PON_Bin_64_20_c	mag	181762
CHL_PON_Bin_64_22_c	mag	87374
CHL_PON_Bin_64_25_c	mag	30993
CHL_PON_Bin_64_26_c	mag	49197
CHL_PON_Bin_64_3_c	mag	51231
CHL_PON_Bin_64_8_c	mag	66395
CHL_PSE_Bin_102_5_c	mag	72076
CHL_PSE_Bin_102_6_c	mag	50365
CHL_PSE_Bin_121_10_c	mag	66990
CHL_PSE_Bin_121_13_c	mag	67948
CHL_PSE_Bin_121_14_c	mag	36700
CHL_PSE_Bin_121_1_c	mag	51026
CHL_PSE_Bin_121_5_1_c	mag	52621
CHL_PSE_Bin_121_6_c	mag	59051
CHL_PSE_Bin_121_7_c	mag	37489
CHL_PSE_Bin_121_8_c	mag	59786
CHL_PSE_Bin_121_9_c	mag	51242
CHL_PSE_Bin_123_3_c	mag	57773
CHL_PSE_Bin_149_2_c	mag	20925
CHL_PSE_Bin_149_3_c	mag	91977
CHL_PSE_Bin_149_4_c	mag	77283
CHL_PSE_Bin_149_6_c	mag	27022
CHL_PSE_Bin_149_7_c	mag	84976
CHL_PSE_Bin_160_10_c	mag	80410
CHL_PSE_Bin_160_12_c	mag	96280
CHL_PSE_Bin_160_13_c	mag	92919
CHL_PSE_Bin_160_14_c	mag	64680
CHL_PSE_Bin_160_15_c	mag	44782
CHL_PSE_Bin_160_17_c	mag	116339
CHL_PSE_Bin_160_18_c	mag	102792
CHL_PSE_Bin_160_1_c	mag	61910
CHL_PSE_Bin_160_2_c	mag	50805
CHL_PSE_Bin_160_4_c	mag	73259
CHL_PSE_Bin_160_5_c	mag	62323
CHL_PSE_Bin_160_6_c	mag	44015
CHL_PSE_Bin_160_7_c	mag	79411
CHL_PSE_Bin_165_1_c	mag	77053
CHL_PSE_Bin_178_10_c	mag	87600
CHL_PSE_Bin_178_13_c	mag	34246
CHL_PSE_Bin_178_29_c	mag	87127
CHL_PSE_Bin_178_45_c	mag	68944
CHL_PSE_Bin_180_1_c	mag	77096
CHL_PSE_Bin_180_2_c	mag	38475
CHL_PSE_Bin_54_2_c	mag	67921
CHL_PSE_Bin_54_5_c	mag	24350
CHL_PSE_Bin_77_3_c	mag	67904
CHL_PSE_Bin_77_9_c	mag	53399
CHL_PSE_Bin_83_1_c	mag	82290
CHL_PSE_Bin_83_2_c	mag	69422
CHL_PSE_Bin_83_3_c	mag	79038
CHL_PSW_Bin_103_11_c	mag	64618
CHL_PSW_Bin_103_12_c	mag	86566
CHL_PSW_Bin_103_14_c	mag	53102
CHL_PSW_Bin_103_16_c	mag	55690
CHL_PSW_Bin_103_3_c	mag	51133
CHL_PSW_Bin_103_4_c	mag	61899
CHL_PSW_Bin_103_5_c	mag	53109
CHL_PSW_Bin_103_9_c	mag	50384
CHL_PSW_Bin_118_12_c	mag	83478
CHL_PSW_Bin_118_13_c	mag	89090
CHL_PSW_Bin_118_8_c	mag	63681
CHL_PSW_Bin_163_10_c	mag	36561
CHL_PSW_Bin_163_16_c	mag	62993
CHL_PSW_Bin_163_28_c	mag	32570
CHL_PSW_Bin_163_30_c	mag	45866
CHL_PSW_Bin_163_31_c	mag	60496
CHL_PSW_Bin_163_33_c	mag	46886
CHL_PSW_Bin_163_5_c	mag	54499
CHL_PSW_Bin_165_1_c	mag	84835
CHL_PSW_Bin_165_3_c	mag	102993
CHL_PSW_Bin_165_4_c	mag	112315
CHL_PSW_Bin_166_11_c	mag	66955
CHL_PSW_Bin_166_24_c	mag	104152
CHL_PSW_Bin_166_29_c	mag	31425
CHL_PSW_Bin_166_31_c	mag	40253
CHL_PSW_Bin_166_32_c	mag	40208
