Taxon	Type	GCcontent
CHL_AON_Bin_218_42_c	mag	33.98
CHL_AON_Bin_218_43_c	mag	29.72
CHL_AON_Bin_218_44_c	mag	27.68
CHL_AON_Bin_218_46_c	mag	29.89
CHL_AON_Bin_218_4_c	mag	29.70
CHL_AON_Bin_218_6_c	mag	30.41
CHL_AON_Bin_218_7_c	mag	32.88
CHL_AON_Bin_218_8_c	mag	29.84
CHL_AON_Bin_220_12_c	mag	34.10
CHL_AON_Bin_220_13_c	mag	34.14
CHL_AON_Bin_220_17_c	mag	34.34
CHL_AON_Bin_220_18_c	mag	28.64
CHL_AON_Bin_220_19_c	mag	33.34
CHL_AON_Bin_220_24_c	mag	37.09
CHL_AON_Bin_220_25_c	mag	34.50
CHL_AON_Bin_220_30_c	mag	34.98
CHL_AON_Bin_220_31_c	mag	36.49
CHL_AON_Bin_220_32_c	mag	32.55
CHL_AON_Bin_220_34_c	mag	29.18
CHL_AON_Bin_220_35_c	mag	29.30
CHL_AON_Bin_220_36_c	mag	32.71
CHL_AON_Bin_220_39_c	mag	33.95
CHL_AON_Bin_220_6_c	mag	31.15
CHL_AON_Bin_220_7_c	mag	31.14
CHL_AON_Bin_222_1_c	mag	32.99
CHL_AON_Bin_222_2_c	mag	32.64
CHL_AON_Bin_222_3_c	mag	33.27
CHL_AON_Bin_238_2_c	mag	29.36
CHL_AON_Bin_238_9_c	mag	38.24
CHL_AON_Bin_248_3_c	mag	34.63
CHL_AON_Bin_248_4_c	mag	31.95
CHL_AON_Bin_264_5_c	mag	30.40
CHL_AON_Bin_270_2_c	mag	38.00
CHL_AON_Bin_293_3_c	mag	29.85
CHL_AON_Bin_293_4_c	mag	29.42
CHL_AON_Bin_293_5_c	mag	29.29
CHL_AOS_Bin_102_10_c	mag	30.49
CHL_AOS_Bin_102_11_c	mag	28.74
CHL_AOS_Bin_102_15_c	mag	30.23
CHL_AOS_Bin_102_18_c	mag	28.16
CHL_AOS_Bin_102_19_c	mag	27.73
CHL_AOS_Bin_102_1_c	mag	28.53
CHL_AOS_Bin_102_25_c	mag	29.66
CHL_AOS_Bin_102_27_c	mag	29.37
CHL_AOS_Bin_102_28_c	mag	29.89
CHL_AOS_Bin_102_29_c	mag	29.21
CHL_AOS_Bin_102_30_c	mag	29.02
CHL_AOS_Bin_102_32_c	mag	28.15
CHL_AOS_Bin_102_33_c	mag	31.25
CHL_AOS_Bin_102_7_c	mag	29.39
CHL_AOS_Bin_125_20_c	mag	33.01
CHL_AOS_Bin_125_27_c	mag	33.19
CHL_AOS_Bin_125_2_c	mag	32.58
CHL_AOS_Bin_125_31_c	mag	32.92
CHL_AOS_Bin_125_32_c	mag	32.40
CHL_AOS_Bin_125_33_c	mag	31.41
CHL_AOS_Bin_125_38_c	mag	32.03
CHL_AOS_Bin_125_39_c	mag	30.18
CHL_AOS_Bin_125_3_c	mag	30.85
CHL_AOS_Bin_125_40_c	mag	35.22
CHL_AOS_Bin_125_42_c	mag	29.12
CHL_AOS_Bin_125_4_c	mag	32.89
CHL_AOS_Bin_125_5_c	mag	35.08
CHL_AOS_Bin_125_7_c	mag	33.32
CHL_AOS_Bin_138_1_c	mag	31.93
CHL_AOS_Bin_138_2_c	mag	33.65
CHL_AOS_Bin_139_10_c	mag	28.46
CHL_AOS_Bin_139_1_c	mag	30.41
CHL_AOS_Bin_139_6_c	mag	31.84
CHL_AOS_Bin_139_8_c	mag	30.18
CHL_AOS_Bin_143_10_c	mag	32.96
CHL_AOS_Bin_143_1_c	mag	31.68
CHL_AOS_Bin_143_4_c	mag	34.27
CHL_AOS_Bin_143_7_c	mag	34.92
CHL_AOS_Bin_162_10_c	mag	31.81
CHL_AOS_Bin_162_11_c	mag	34.07
CHL_AOS_Bin_162_13_c	mag	33.40
CHL_AOS_Bin_162_16_c	mag	35.48
CHL_AOS_Bin_162_17_c	mag	33.08
CHL_AOS_Bin_162_18_c	mag	35.26
CHL_AOS_Bin_162_1_c	mag	33.10
CHL_AOS_Bin_162_21_c	mag	33.70
CHL_AOS_Bin_162_23_c	mag	33.06
CHL_AOS_Bin_162_24_c	mag	35.15
CHL_AOS_Bin_162_26_c	mag	34.04
CHL_AOS_Bin_162_27_c	mag	34.88
CHL_AOS_Bin_162_5_c	mag	29.80
CHL_AOS_Bin_162_6_c	mag	33.54
CHL_AOS_Bin_166_1_c	mag	29.43
CHL_AOS_Bin_166_4_c	mag	29.65
CHL_AOS_Bin_166_7_c	mag	34.75
CHL_AOS_Bin_173_3_c	mag	35.00
CHL_AOS_Bin_173_4_c	mag	32.32
CHL_AOS_Bin_179_11_c	mag	30.34
CHL_AOS_Bin_179_12_c	mag	28.95
CHL_AOS_Bin_179_13_c	mag	30.46
CHL_AOS_Bin_179_14_c	mag	30.34
CHL_AOS_Bin_179_15_c	mag	30.33
CHL_AOS_Bin_179_16_c	mag	29.91
CHL_AOS_Bin_179_19_c	mag	28.31
CHL_AOS_Bin_179_1_c	mag	32.48
CHL_AOS_Bin_179_22_c	mag	29.69
CHL_AOS_Bin_179_23_c	mag	33.05
CHL_AOS_Bin_179_24_c	mag	28.54
CHL_AOS_Bin_179_25_c	mag	28.78
CHL_AOS_Bin_179_27_c	mag	28.94
CHL_AOS_Bin_179_28_c	mag	28.48
CHL_AOS_Bin_179_32_c	mag	32.06
CHL_AOS_Bin_179_3_c	mag	28.90
CHL_AOS_Bin_179_4_c	mag	29.23
CHL_AOS_Bin_179_6_c	mag	30.71
CHL_AOS_Bin_179_7_c	mag	30.07
CHL_AOS_Bin_83_4_c	mag	33.98
CHL_AOS_Bin_89_2_c	mag	36.55
CHL_AOS_Bin_89_8_c	mag	34.56
CHL_ARC_Bin_104_2_c	mag	31.99
CHL_ARC_Bin_104_3_c	mag	38.95
CHL_ARC_Bin_104_4_c	mag	32.22
CHL_ARC_Bin_104_7_c	mag	33.79
CHL_ARC_Bin_104_8_c	mag	30.97
CHL_ARC_Bin_104_9_c	mag	27.95
CHL_ARC_Bin_123_1_c	mag	29.89
CHL_ARC_Bin_169_1_c	mag	34.65
CHL_ARC_Bin_171_1_c	mag	34.79
CHL_ARC_Bin_205_11_c	mag	34.99
CHL_ARC_Bin_205_16_c	mag	32.63
CHL_ARC_Bin_205_2_c	mag	35.12
CHL_ARC_Bin_205_3_c	mag	45.02
CHL_ARC_Bin_205_4_c	mag	28.61
CHL_ARC_Bin_205_5_c	mag	33.58
CHL_ARC_Bin_205_7_c	mag	35.03
CHL_ARC_Bin_205_8_c	mag	35.72
CHL_ARC_Bin_205_9_c	mag	33.54
CHL_ARC_Bin_223_2_c	mag	31.43
CHL_ARC_Bin_223_3_c	mag	28.31
CHL_ARC_Bin_223_4_c	mag	29.50
CHL_ARC_Bin_238_10_c	mag	36.78
CHL_ARC_Bin_238_11_c	mag	36.14
CHL_ARC_Bin_238_12_c	mag	33.92
CHL_ARC_Bin_238_13_c	mag	36.33
CHL_ARC_Bin_238_14_c	mag	32.66
CHL_ARC_Bin_238_16_c	mag	34.81
CHL_ARC_Bin_238_18_c	mag	34.00
CHL_ARC_Bin_238_19_c	mag	43.58
CHL_ARC_Bin_238_1_c	mag	31.12
CHL_ARC_Bin_238_22_c	mag	33.40
CHL_ARC_Bin_238_23_c	mag	32.99
CHL_ARC_Bin_238_25_c	mag	30.41
CHL_ARC_Bin_238_27_c	mag	35.05
CHL_ARC_Bin_238_28_c	mag	33.70
CHL_ARC_Bin_238_29_c	mag	33.95
CHL_ARC_Bin_238_2_c	mag	33.44
CHL_ARC_Bin_238_30_c	mag	34.29
CHL_ARC_Bin_238_32_c	mag	30.72
CHL_ARC_Bin_238_33_c	mag	34.33
CHL_ARC_Bin_238_34_c	mag	35.12
CHL_ARC_Bin_238_3_c	mag	34.30
CHL_ARC_Bin_238_40_c	mag	32.78
CHL_ARC_Bin_238_41_c	mag	33.57
CHL_ARC_Bin_238_4_c	mag	34.96
CHL_ARC_Bin_238_9_c	mag	40.50
CHL_ARC_Bin_270_13_c	mag	30.04
CHL_ARC_Bin_270_15_c	mag	31.43
CHL_ARC_Bin_270_16_1_c	mag	30.19
CHL_ARC_Bin_270_16_2_c	mag	29.84
CHL_ARC_Bin_270_19_c	mag	37.03
CHL_ARC_Bin_270_20_c	mag	36.41
CHL_ARC_Bin_270_21_c	mag	29.31
CHL_ARC_Bin_270_3_c	mag	32.54
CHL_ARC_Bin_270_9_c	mag	30.82
CHL_ARC_Bin_303_10_c	mag	28.88
CHL_ARC_Bin_303_11_c	mag	28.73
CHL_ARC_Bin_303_12_c	mag	30.30
CHL_ARC_Bin_303_14_c	mag	30.60
CHL_ARC_Bin_303_15_c	mag	30.75
CHL_ARC_Bin_303_16_c	mag	29.80
CHL_ARC_Bin_303_17_c	mag	29.69
CHL_ARC_Bin_303_19_c	mag	30.20
CHL_ARC_Bin_303_1_c	mag	30.02
CHL_ARC_Bin_303_20_c	mag	30.68
CHL_ARC_Bin_303_21_c	mag	29.86
CHL_ARC_Bin_303_22_c	mag	29.58
CHL_ARC_Bin_303_23_c	mag	29.42
CHL_ARC_Bin_303_24_c	mag	29.18
CHL_ARC_Bin_303_25_c	mag	28.77
CHL_ARC_Bin_303_26_c	mag	28.99
CHL_ARC_Bin_303_28_c	mag	29.11
CHL_ARC_Bin_303_2_c	mag	30.10
CHL_ARC_Bin_303_31_c	mag	28.59
CHL_ARC_Bin_303_32_c	mag	28.26
CHL_ARC_Bin_303_33_c	mag	28.75
CHL_ARC_Bin_303_34_c	mag	31.50
CHL_ARC_Bin_303_35_c	mag	28.82
CHL_ARC_Bin_303_36_c	mag	28.24
CHL_ARC_Bin_303_37_c	mag	30.38
CHL_ARC_Bin_303_39_c	mag	29.86
CHL_ARC_Bin_303_4_c	mag	29.85
CHL_ARC_Bin_303_5_c	mag	29.49
CHL_ARC_Bin_303_6_c	mag	29.91
CHL_ARC_Bin_303_7_c	mag	28.95
CHL_ARC_Bin_303_9_c	mag	29.99
CHL_ARC_Bin_318_1_c	mag	29.78
CHL_ARC_Bin_318_2_c	mag	37.49
CHL_ARC_Bin_318_3_c	mag	32.58
CHL_ARC_Bin_345_1_c	mag	33.64
CHL_ARC_Bin_345_2_c	mag	46.28
CHL_ARC_Bin_345_3_c	mag	31.16
CHL_ARC_Bin_359_10_c	mag	29.27
CHL_ARC_Bin_359_11_c	mag	28.16
CHL_ARC_Bin_359_1_c	mag	29.51
CHL_ARC_Bin_359_2_c	mag	28.23
CHL_ARC_Bin_359_4_c	mag	30.10
CHL_ARC_Bin_359_5_c	mag	29.41
CHL_ARC_Bin_359_7_c	mag	30.28
CHL_ARC_Bin_359_8_c	mag	28.83
CHL_ARC_Bin_378_1_c	mag	30.34
CHL_ARC_Bin_378_2_c	mag	31.01
CHL_ARC_Bin_378_3_c	mag	31.02
CHL_ARC_Bin_378_5_c	mag	30.92
CHL_ARC_Bin_378_6_c	mag	31.58
CHL_ARC_Bin_77_3_c	mag	34.66
CHL_ARC_Bin_77_4_c	mag	32.87
CHL_ION_Bin_101_2_c	mag	32.07
CHL_ION_Bin_102_1_c	mag	28.21
CHL_ION_Bin_126_1_c	mag	28.69
CHL_ION_Bin_126_2_c	mag	33.07
CHL_ION_Bin_126_3_c	mag	27.77
CHL_ION_Bin_126_4_c	mag	28.80
CHL_ION_Bin_131_12_c	mag	29.57
CHL_ION_Bin_131_13_c	mag	28.96
CHL_ION_Bin_131_14_c	mag	34.61
CHL_ION_Bin_131_16_c	mag	29.89
CHL_ION_Bin_131_17_c	mag	29.69
CHL_ION_Bin_131_1_c	mag	32.15
CHL_ION_Bin_131_21_c	mag	31.58
CHL_ION_Bin_131_22_c	mag	30.66
CHL_ION_Bin_131_23_c	mag	27.24
CHL_ION_Bin_131_26_c	mag	28.82
CHL_ION_Bin_131_29_c	mag	28.54
CHL_ION_Bin_131_2_c	mag	32.02
CHL_ION_Bin_131_31_c	mag	29.05
CHL_ION_Bin_131_3_c	mag	29.06
CHL_ION_Bin_131_6_c	mag	28.76
CHL_ION_Bin_131_9_c	mag	28.94
CHL_ION_Bin_135_1_c	mag	35.50
CHL_ION_Bin_135_3_c	mag	37.62
CHL_ION_Bin_135_4_c	mag	32.47
CHL_ION_Bin_157_1_c	mag	31.96
CHL_ION_Bin_157_4_c	mag	29.87
CHL_ION_Bin_67_18_c	mag	31.76
CHL_ION_Bin_67_19_c	mag	33.13
CHL_ION_Bin_67_21_c	mag	33.35
CHL_ION_Bin_67_2_c	mag	33.01
CHL_ION_Bin_67_4_c	mag	34.52
CHL_ION_Bin_67_6_c	mag	29.81
CHL_ION_Bin_67_7_c	mag	31.28
CHL_ION_Bin_67_9_c	mag	33.64
CHL_ION_Bin_84_13_c	mag	32.57
CHL_ION_Bin_84_14_c	mag	32.99
CHL_ION_Bin_84_17_c	mag	33.10
CHL_ION_Bin_84_21_c	mag	34.61
CHL_ION_Bin_84_22_c	mag	37.73
CHL_ION_Bin_84_23_c	mag	32.05
CHL_ION_Bin_84_26_c	mag	34.19
CHL_ION_Bin_84_28_c	mag	34.05
CHL_ION_Bin_84_2_c	mag	30.57
CHL_ION_Bin_84_5_c	mag	33.47
CHL_ION_Bin_84_9_c	mag	32.68
CHL_IOS_Bin_126_12_c	mag	33.93
CHL_IOS_Bin_126_14_c	mag	34.50
CHL_IOS_Bin_126_17_c	mag	36.08
CHL_IOS_Bin_126_4_c	mag	29.12
CHL_IOS_Bin_127_3_c	mag	35.31
CHL_IOS_Bin_127_7_c	mag	37.03
CHL_IOS_Bin_127_9_c	mag	40.25
CHL_IOS_Bin_138_10_c	mag	28.41
CHL_IOS_Bin_138_13_c	mag	29.93
CHL_IOS_Bin_138_15_c	mag	28.78
CHL_IOS_Bin_138_17_c	mag	29.64
CHL_IOS_Bin_138_18_c	mag	31.94
CHL_IOS_Bin_138_1_c	mag	28.77
CHL_IOS_Bin_138_20_c	mag	29.81
CHL_IOS_Bin_138_22_c	mag	25.77
CHL_IOS_Bin_138_24_c	mag	28.44
CHL_IOS_Bin_138_26_c	mag	45.07
CHL_IOS_Bin_138_29_c	mag	30.01
CHL_IOS_Bin_138_2_c	mag	28.66
CHL_IOS_Bin_138_30_c	mag	28.18
CHL_IOS_Bin_138_31_c	mag	28.79
CHL_IOS_Bin_138_32_c	mag	30.40
CHL_IOS_Bin_138_4_c	mag	29.24
CHL_IOS_Bin_138_5_c	mag	30.01
CHL_IOS_Bin_138_9_c	mag	29.92
CHL_IOS_Bin_163_10_c	mag	32.20
CHL_IOS_Bin_163_4_c	mag	32.50
CHL_IOS_Bin_163_5_c	mag	33.03
CHL_IOS_Bin_174_1_c	mag	29.74
CHL_IOS_Bin_174_3_c	mag	31.41
CHL_IOS_Bin_176_10_c	mag	29.55
CHL_IOS_Bin_176_11_c	mag	30.44
CHL_IOS_Bin_176_12_c	mag	31.14
CHL_IOS_Bin_176_15_c	mag	29.29
CHL_IOS_Bin_176_16_c	mag	30.72
CHL_IOS_Bin_176_20_c	mag	29.31
CHL_IOS_Bin_176_5_c	mag	30.19
CHL_IOS_Bin_176_6_c	mag	30.45
CHL_IOS_Bin_176_9_c	mag	31.17
CHL_IOS_Bin_179_2_c	mag	31.55
CHL_IOS_Bin_179_4_c	mag	35.84
CHL_IOS_Bin_179_5_c	mag	34.85
CHL_IOS_Bin_190_5_c	mag	39.70
CHL_IOS_Bin_76_4_c	mag	32.47
CHL_MED_Bin_17_1_c	mag	29.89
CHL_MED_Bin_17_5_c	mag	32.82
CHL_MED_Bin_216_1_c	mag	38.04
CHL_MED_Bin_216_10_c	mag	37.41
CHL_MED_Bin_216_3_c	mag	34.63
CHL_MED_Bin_216_4_1_c	mag	34.93
CHL_MED_Bin_216_4_2_c	mag	32.75
CHL_MED_Bin_216_8_c	mag	30.03
CHL_MED_Bin_236_10_c	mag	29.76
CHL_MED_Bin_236_13_c	mag	29.14
CHL_MED_Bin_236_16_c	mag	29.88
CHL_MED_Bin_236_19_c	mag	30.98
CHL_MED_Bin_236_21_c	mag	28.34
CHL_MED_Bin_236_28_c	mag	29.60
CHL_MED_Bin_236_29_c	mag	29.43
CHL_MED_Bin_236_2_c	mag	30.19
CHL_MED_Bin_236_31_c	mag	28.67
CHL_MED_Bin_236_3_c	mag	30.11
CHL_MED_Bin_236_5_c	mag	30.36
CHL_MED_Bin_236_6_c	mag	31.74
CHL_MED_Bin_236_8_c	mag	30.62
CHL_MED_Bin_250_13_c	mag	31.32
CHL_MED_Bin_250_19_c	mag	34.85
CHL_MED_Bin_250_20_c	mag	35.30
CHL_MED_Bin_250_21_c	mag	35.63
CHL_MED_Bin_250_22_c	mag	32.75
CHL_MED_Bin_250_23_c	mag	32.52
CHL_MED_Bin_250_24_c	mag	32.75
CHL_MED_Bin_250_25_c	mag	32.64
CHL_MED_Bin_250_26_c	mag	33.94
CHL_MED_Bin_250_28_c	mag	31.07
CHL_MED_Bin_250_30_c	mag	33.72
CHL_MED_Bin_250_31_c	mag	35.23
CHL_MED_Bin_250_33_c	mag	32.84
CHL_MED_Bin_250_34_c	mag	33.35
CHL_MED_Bin_250_35_c	mag	32.63
CHL_MED_Bin_250_37_c	mag	33.94
CHL_MED_Bin_250_3_c	mag	34.69
CHL_MED_Bin_250_40_c	mag	32.34
CHL_MED_Bin_250_41_c	mag	33.33
CHL_MED_Bin_250_47_c	mag	33.23
CHL_MED_Bin_250_53_c	mag	34.44
CHL_MED_Bin_250_55_c	mag	32.54
CHL_MED_Bin_250_59_c	mag	32.85
CHL_MED_Bin_250_5_c	mag	29.42
CHL_MED_Bin_250_60_c	mag	31.91
CHL_MED_Bin_250_62_c	mag	31.73
CHL_MED_Bin_250_63_c	mag	30.81
CHL_MED_Bin_250_65_c	mag	32.64
CHL_MED_Bin_250_67_c	mag	34.89
CHL_MED_Bin_250_9_c	mag	33.33
CHL_MED_Bin_262_1_c	mag	39.43
CHL_MED_Bin_262_3_c	mag	34.19
CHL_MED_Bin_263_10_c	mag	35.40
CHL_MED_Bin_263_13_c	mag	33.61
CHL_MED_Bin_263_15_c	mag	33.56
CHL_MED_Bin_263_18_c	mag	32.30
CHL_MED_Bin_263_19_c	mag	33.43
CHL_MED_Bin_263_20_c	mag	33.50
CHL_MED_Bin_263_21_c	mag	33.74
CHL_MED_Bin_263_5_c	mag	33.64
CHL_MED_Bin_263_7_c	mag	33.97
CHL_MED_Bin_263_9_c	mag	29.26
CHL_MED_Bin_332_1_c	mag	29.89
CHL_MED_Bin_332_3_c	mag	29.33
CHL_MED_Bin_332_5_c	mag	28.43
CHL_MED_Bin_373_15_c	mag	29.42
CHL_MED_Bin_373_20_c	mag	31.36
CHL_MED_Bin_373_22_c	mag	26.98
CHL_MED_Bin_373_23_c	mag	32.99
CHL_MED_Bin_373_5_c	mag	30.23
CHL_MED_Bin_373_6_c	mag	28.68
CHL_MED_Bin_373_7_c	mag	31.07
CHL_MED_Bin_384_2_c	mag	36.47
CHL_MED_Bin_72_1_c	mag	28.81
CHL_PON_Bin_100_11_c	mag	32.59
CHL_PON_Bin_100_27_c	mag	32.93
CHL_PON_Bin_100_30_c	mag	33.72
CHL_PON_Bin_100_32_c	mag	36.17
CHL_PON_Bin_100_33_c	mag	36.30
CHL_PON_Bin_100_37_c	mag	32.55
CHL_PON_Bin_100_39_c	mag	36.95
CHL_PON_Bin_100_5_c	mag	30.30
CHL_PON_Bin_100_8_c	mag	33.05
CHL_PON_Bin_102_2_c	mag	28.70
CHL_PON_Bin_125_3_c	mag	30.83
CHL_PON_Bin_125_6_c	mag	33.32
CHL_PON_Bin_171_10_c	mag	27.38
CHL_PON_Bin_171_14_c	mag	30.39
CHL_PON_Bin_171_15_c	mag	29.10
CHL_PON_Bin_171_20_c	mag	29.28
CHL_PON_Bin_171_21_c	mag	29.26
CHL_PON_Bin_171_22_c	mag	29.43
CHL_PON_Bin_171_24_c	mag	28.48
CHL_PON_Bin_171_25_c	mag	28.68
CHL_PON_Bin_171_6_c	mag	30.69
CHL_PON_Bin_171_8_c	mag	29.35
CHL_PON_Bin_171_9_c	mag	27.61
CHL_PON_Bin_179_3_c	mag	29.76
CHL_PON_Bin_179_6_c	mag	28.71
CHL_PON_Bin_179_8_c	mag	29.59
CHL_PON_Bin_183_2_c	mag	29.52
CHL_PON_Bin_183_3_c	mag	29.23
CHL_PON_Bin_64_11_c	mag	34.38
CHL_PON_Bin_64_12_c	mag	31.16
CHL_PON_Bin_64_14_c	mag	29.02
CHL_PON_Bin_64_15_c	mag	31.59
CHL_PON_Bin_64_18_c	mag	34.59
CHL_PON_Bin_64_19_c	mag	33.30
CHL_PON_Bin_64_20_c	mag	30.30
CHL_PON_Bin_64_22_c	mag	34.32
CHL_PON_Bin_64_25_c	mag	34.37
CHL_PON_Bin_64_26_c	mag	33.53
CHL_PON_Bin_64_3_c	mag	29.46
CHL_PON_Bin_64_8_c	mag	34.72
CHL_PSE_Bin_102_5_c	mag	28.28
CHL_PSE_Bin_102_6_c	mag	29.99
CHL_PSE_Bin_121_10_c	mag	29.29
CHL_PSE_Bin_121_13_c	mag	28.15
CHL_PSE_Bin_121_14_c	mag	28.40
CHL_PSE_Bin_121_1_c	mag	28.83
CHL_PSE_Bin_121_5_1_c	mag	30.14
CHL_PSE_Bin_121_6_c	mag	30.73
CHL_PSE_Bin_121_7_c	mag	29.68
CHL_PSE_Bin_121_8_c	mag	29.41
CHL_PSE_Bin_121_9_c	mag	29.45
CHL_PSE_Bin_123_3_c	mag	35.58
CHL_PSE_Bin_149_2_c	mag	34.61
CHL_PSE_Bin_149_3_c	mag	28.84
CHL_PSE_Bin_149_4_c	mag	29.18
CHL_PSE_Bin_149_6_c	mag	32.26
CHL_PSE_Bin_149_7_c	mag	28.65
CHL_PSE_Bin_160_10_c	mag	30.11
CHL_PSE_Bin_160_12_c	mag	28.88
CHL_PSE_Bin_160_13_c	mag	32.12
CHL_PSE_Bin_160_14_c	mag	27.84
CHL_PSE_Bin_160_15_c	mag	31.53
CHL_PSE_Bin_160_17_c	mag	27.77
CHL_PSE_Bin_160_18_c	mag	29.61
CHL_PSE_Bin_160_1_c	mag	29.98
CHL_PSE_Bin_160_2_c	mag	27.95
CHL_PSE_Bin_160_4_c	mag	30.16
CHL_PSE_Bin_160_5_c	mag	29.27
CHL_PSE_Bin_160_6_c	mag	31.42
CHL_PSE_Bin_160_7_c	mag	30.40
CHL_PSE_Bin_165_1_c	mag	37.99
CHL_PSE_Bin_178_10_c	mag	33.43
CHL_PSE_Bin_178_13_c	mag	33.81
CHL_PSE_Bin_178_29_c	mag	34.73
CHL_PSE_Bin_178_45_c	mag	34.80
CHL_PSE_Bin_180_1_c	mag	30.61
CHL_PSE_Bin_180_2_c	mag	29.70
CHL_PSE_Bin_54_2_c	mag	35.00
CHL_PSE_Bin_54_5_c	mag	29.13
CHL_PSE_Bin_77_3_c	mag	33.04
CHL_PSE_Bin_77_9_c	mag	33.43
CHL_PSE_Bin_83_1_c	mag	34.10
CHL_PSE_Bin_83_2_c	mag	33.52
CHL_PSE_Bin_83_3_c	mag	34.38
CHL_PSW_Bin_103_11_c	mag	29.92
CHL_PSW_Bin_103_12_c	mag	31.67
